v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,max_position_x,max_position_y,classification,in_gap_window,bulk_gap_used,window_status
0.3,10,10,416,0.09195814093183893,0.09195814093183893,0.14730686042360336,0.8179908157843323,0.03470232379206537,9,6,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,417,0.09195814093183916,0.09195814093183916,0.1473068604236034,0.817990815784331,0.0347023237920654,3,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,418,0.09448208353777388,0.09448208353777388,0.2609514163128092,0.730460378496682,0.008588205190508007,9,0,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,419,0.09448208353777415,0.09448208353777415,0.26095141631280866,0.7304603784966839,0.008588205190508028,0,0,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,420,0.11543076550999322,0.11543076550999322,0.29273377450876636,0.694920505465626,0.012345720025608162,0,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,421,0.11543076550999383,0.11543076550999383,0.2927337745087666,0.694920505465624,0.012345720025608239,9,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,422,0.12233687578586896,0.12233687578586896,0.2329249023561565,0.7240242385520265,0.04305085909181695,7,0,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,423,0.12233687578586977,0.12233687578586977,0.23292490235615565,0.7240242385520278,0.04305085909181724,2,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,424,0.16109893258337274,0.16109893258337274,0.10919064309943004,0.8527774546535343,0.03803190224703474,0,5,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,425,0.16109893258337302,0.16109893258337302,0.10919064309942902,0.8527774546535356,0.038031902247035065,5,0,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,426,0.1734190433866561,0.1734190433866561,0.18351800454442327,0.7915800334760394,0.024901961979537226,5,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,427,0.1734190433866562,0.1734190433866562,0.1835180045444238,0.7915800334760384,0.024901961979537205,5,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,428,0.1812130480743858,0.1812130480743858,0.0696823943313569,0.8686143727090242,0.06170323295961976,4,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,429,0.18121304807438607,0.18121304807438607,0.06968239433135626,0.8686143727090244,0.06170323295961959,4,9,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,430,0.18626777390436988,0.18626777390436988,0.1401346276851421,0.8210229918500611,0.0388423804647975,4,0,edge_state,0.23999999999999996,0.5999999999999999,ok
0.3,10,10,431,0.1862677739043703,0.1862677739043703,0.14013462768514184,0.8210229918500613,0.038842380464797516,4,0,edge_state,0.23999999999999996,0.5999999999999999,ok
0.4,10,10,366,-0.15034881815204504,0.15034881815204504,0.009568502926300583,0.28153681197940644,0.7088946850942927,5,5,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,367,-0.1503488181520446,0.1503488181520446,0.00956850292630034,0.2815368119794058,0.7088946850942935,4,5,bulk_or_mixed_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,368,-0.13949736995817497,0.13949736995817497,0.09778291548346132,0.8933591317502624,0.008857952766275812,9,5,edge_state,0.15999999999999975,0.39999999999999936,ok
0.4,10,10,369,-0.13949736995817474,0.13949736995817474,0.09778291548345852,0.8933591317502658,0.008857952766275769,0,5,edge_state,0.15999999999999975,0.39999999999999936,ok
