v,direction,scan_param,center_index,wannier_center
0.1,x,0.5042062283539175,2,0.7887587902605031
0.1,x,0.5042062283539175,3,0.9366914992880304
0.1,x,0.5817764173314428,0,0.13851088669278086
0.1,x,0.5817764173314428,1,0.32178069228547884
0.1,x,0.5817764173314428,2,0.6724424677270373
0.1,x,0.5817764173314428,3,0.8672659532947027
0.1,x,0.6593466063089686,0,0.35514072906271393
0.1,x,0.6593466063089686,1,0.42011535198381533
0.1,x,0.6593466063089686,2,0.5770894075760615
0.1,x,0.6593466063089686,3,0.647654511377409
0.1,x,0.7369167952864943,0,0.16125693624386103
0.1,x,0.7369167952864943,1,0.3006734261683988
0.1,x,0.7369167952864943,2,0.6953243648898857
0.1,x,0.7369167952864943,3,0.8427452726978553
0.1,x,0.8144869842640201,0,0.09995080318696083
0.1,x,0.8144869842640201,1,0.2313116462132938
0.1,x,0.8144869842640201,2,0.767242613343929
0.1,x,0.8144869842640201,3,0.9014949372558156
0.1,x,0.8920571732415459,0,0.12244542660613798
0.1,x,0.8920571732415459,1,0.16420360267767328
0.1,x,0.8920571732415459,2,0.8379703083104969
0.1,x,0.8920571732415459,3,0.875380662405692
0.1,x,0.9696273622190716,0,0.18916168595717842
0.1,x,0.9696273622190716,1,0.21490908254501595
0.1,x,0.9696273622190716,2,0.7710740126823611
0.1,x,0.9696273622190716,3,0.8248552188154449
0.1,x,1.0471975511965974,0,0.2378181811497396
0.1,x,1.0471975511965974,1,0.3125527157237161
0.1,x,1.0471975511965974,2,0.6903897552738233
0.1,x,1.0471975511965974,3,0.7592393478527212
0.1,x,1.1247677401741232,0,0.19588114563663164
0.1,x,1.1247677401741232,1,0.4505900056196152
0.1,x,1.1247677401741232,2,0.5435176948222944
0.1,x,1.1247677401741232,3,0.8100111539214587
0.1,x,1.202337929151649,0,0.3682222561081232
0.1,x,1.202337929151649,1,0.3904432498197705
0.1,x,1.202337929151649,2,0.6079835576079783
0.1,x,1.202337929151649,3,0.6333509364641285
0.1,x,1.2799081181291747,0,0.21215499105005267
0.1,x,1.2799081181291747,1,0.31704465730985654
0.1,x,1.2799081181291747,2,0.6851497853505075
0.1,x,1.2799081181291747,3,0.7856505662895831
0.1,x,1.3574783071067005,0,0.16285587977284016
0.1,x,1.3574783071067005,1,0.17826154507556977
0.1,x,1.3574783071067005,2,0.7969463094022744
0.1,x,1.3574783071067005,3,0.8619362657493157
0.1,x,1.4350484960842262,0,0.10459683695973168
0.1,x,1.4350484960842262,1,0.39273602407197766
0.1,x,1.4350484960842262,2,0.6054974028794451
0.1,x,1.4350484960842262,3,0.8971697360888454
0.1,x,1.512618685061752,0,0.2999397939837416
0.1,x,1.512618685061752,1,0.333107288544545
0.1,x,1.512618685061752,2,0.6376690662112253
0.1,x,1.512618685061752,3,0.729283851260488
0.1,x,1.5901888740392778,0,0.3225417934175487
0.1,x,1.5901888740392778,1,0.40775065759296175
0.1,x,1.5901888740392778,2,0.5895720254973202
0.1,x,1.5901888740392778,3,0.6801355234921691
