center_label,v,lm,t,w,bulk_gap,direct_gap,indirect_gap,min_direct_gap,kx_min,ky_min,chern,z2,wilson,occupied_band_index,unoccupied_band_index,distance_to_center
B,1.01,0.18999999999999995,0.5,0.99,0.44758470427557456,0.44758470427557456,0.44758470427557456,0.44758470427557456,0.0,0.5,3.4175884828672967e-17,1,-0.8517877182253161,3,4,0.09055385138137426
B,1.01,0.19999999999999996,0.5,0.99,0.4549149144179068,0.4549149144179074,0.4549149144179068,0.4549149144179074,1.0,0.5,-7.792119247547322e-17,1,1.2298970531599092,3,4,0.09000000000000008
B,1.01,0.20999999999999996,0.5,0.99,0.46256716068720555,0.46256716068720555,0.46256716068720555,0.46256716068720555,1.0,0.5,7.085630107982551e-17,0,1.5336203128267172,3,4,0.09055385138137424
B,1.01,0.21999999999999995,0.5,0.99,0.4705346191486818,0.47053461914868194,0.4705346191486818,0.47053461914868194,0.0,0.5,-9.316023509594294e-17,0,-0.3384968598394524,3,4,0.09219544457292894
B,1.01,0.22999999999999995,0.5,0.99,0.47881038805228027,0.4788103880522805,0.47881038805228027,0.4788103880522805,0.5,1.0,-1.7470752935776678e-17,1,0.7253323241601863,3,4,0.09486832980505144
B,1.01,0.23999999999999994,0.5,0.99,0.4873875102046446,0.4873875102046446,0.4873875102046446,0.4873875102046446,1.0,0.5,-3.170098333145154e-17,1,0.5336221565189968,3,4,0.09848857801796108
B,1.01,0.24999999999999992,0.5,0.99,0.49625899415749153,0.49625899415749153,0.49625899415749153,0.49625899415749153,1.0,0.5,-1.2815831182433396e-16,1,-0.6561647680251059,3,4,0.10295630140987003
B,1.01,0.2599999999999999,0.5,0.99,0.505417834142547,0.5054178341425472,0.505417834142547,0.5054178341425472,0.5,1.0,-8.829136054819796e-17,0,0.2524090193982693,3,4,0.10816653826391968
B,1.01,0.2699999999999999,0.5,0.99,0.5148570287038604,0.5148570287038605,0.5148570287038604,0.5148570287038605,1.0,0.5,-1.405592300895872e-17,1,-1.3036524053810232,3,4,0.11401754250991379
B,1.01,0.2799999999999999,0.5,0.99,0.5245695979973639,0.5245695979973639,0.5245695979973639,0.5245695979973639,1.0,0.5,-3.0131425213776823e-17,1,1.0231001331219842,3,4,0.12041594578792295
B,1.01,0.2899999999999999,0.5,0.99,0.5345485997449108,0.5345485997449108,0.5345485997449108,0.5345485997449108,1.0,0.5,-7.622456535179045e-17,1,-1.3361639330667943,3,4,0.12727922061357855
B,1.01,0.29999999999999993,0.5,0.99,0.5447871438455938,0.5447871438455939,0.5447871438455938,0.5447871438455939,0.0,0.5,-2.3552994438258783e-17,0,-0.11072729882971304,3,4,0.1345362404707371
