v,t,w,lm,E_a_numeric,E_b_numeric,E_a_formula,E_b_formula,overlap_a,overlap_b
0.6720000000000002,0.3,1.0,0.0,0.2720000000000002,0.32799999999999974,0.27200000000000013,0.32799999999999985,0.9999999999999999,0.8413049019787477
0.6730000000000002,0.3,1.0,0.0,0.27299999999999985,0.3269999999999999,0.27300000000000013,0.32699999999999985,0.9999999999999991,0.9855341784372498
0.6740000000000002,0.3,1.0,0.0,0.2740000000000002,0.3260000000000001,0.27400000000000013,0.32599999999999985,1.0,0.9651909106703844
0.6750000000000002,0.3,1.0,0.0,0.2750000000000002,0.3249999999999998,0.27500000000000013,0.32499999999999984,1.0,0.7071067811865483
0.6760000000000002,0.3,1.0,0.0,0.27600000000000036,0.32399999999999984,0.27600000000000013,0.32399999999999984,1.0,0.7071067811865483
0.6770000000000002,0.3,1.0,0.0,0.2770000000000002,0.32299999999999984,0.27700000000000014,0.32299999999999984,1.0000000000000002,0.707106781186548
0.6780000000000002,0.3,1.0,0.0,0.27800000000000025,0.32199999999999973,0.27800000000000014,0.32199999999999984,1.0000000000000002,0.7813829646454382
0.6790000000000002,0.3,1.0,0.0,0.2790000000000002,0.32099999999999995,0.27900000000000014,0.32099999999999984,0.9999999999999997,0.7071067811865481
0.6800000000000002,0.3,1.0,0.0,0.2800000000000001,0.3200000000000002,0.28000000000000014,0.31999999999999984,0.9999999999999999,0.7649546589887364
0.6810000000000002,0.3,1.0,0.0,0.2810000000000002,0.31899999999999984,0.28100000000000014,0.31899999999999984,0.9999999999999998,0.7071067811865492
0.6820000000000002,0.3,1.0,0.0,0.2820000000000003,0.31799999999999995,0.28200000000000014,0.31799999999999984,1.0000000000000004,0.8145147130157193
0.6830000000000002,0.3,1.0,0.0,0.2830000000000001,0.3169999999999999,0.28300000000000014,0.31699999999999984,1.0,0.7071067811865477
0.6840000000000002,0.3,1.0,0.0,0.284,0.31600000000000006,0.28400000000000014,0.31599999999999984,0.9999999999999999,0.8418939258199942
0.6850000000000002,0.3,1.0,0.0,0.2850000000000001,0.31500000000000006,0.28500000000000014,0.31499999999999984,1.0000000000000007,0.9558614743176195
0.6860000000000002,0.3,1.0,0.0,0.28600000000000025,0.31399999999999967,0.28600000000000014,0.31399999999999983,1.0000000000000002,0.7071067811865483
0.6870000000000002,0.3,1.0,0.0,0.28700000000000014,0.3129999999999995,0.28700000000000014,0.31299999999999983,1.0,0.7707098417856959
0.6880000000000002,0.3,1.0,0.0,0.28800000000000003,0.31199999999999944,0.28800000000000014,0.31199999999999983,1.0000000000000007,0.9349261691555919
0.6890000000000002,0.3,1.0,0.0,0.2890000000000003,0.31099999999999983,0.28900000000000015,0.31099999999999983,1.0000000000000004,0.7071067811865485
0.6900000000000002,0.3,1.0,0.0,0.29,0.3099999999999997,0.29000000000000015,0.30999999999999983,1.0,0.707106781186548
0.6910000000000002,0.3,1.0,0.0,0.2910000000000003,0.3089999999999997,0.29100000000000015,0.30899999999999983,1.0000000000000002,0.7071067811865483
0.6920000000000002,0.3,1.0,0.0,0.29200000000000015,0.30799999999999955,0.29200000000000015,0.30799999999999983,1.0,0.9647401486559636
0.6930000000000002,0.3,1.0,0.0,0.29300000000000026,0.30699999999999966,0.29300000000000015,0.30699999999999983,1.0000000000000002,0.8101236688022758
0.6940000000000002,0.3,1.0,0.0,0.294,0.3059999999999999,0.29400000000000015,0.3059999999999998,1.0,0.7071067811865509
0.6950000000000002,0.3,1.0,0.0,0.2950000000000004,0.30499999999999994,0.29500000000000015,0.3049999999999998,1.0000000000000002,0.9191654498076983
0.6960000000000002,0.3,1.0,0.0,0.2960000000000003,0.30399999999999994,0.29600000000000015,0.3039999999999998,1.0000000000000002,0.8087228725121933
0.6970000000000002,0.3,1.0,0.0,0.2970000000000002,0.30299999999999955,0.29700000000000015,0.3029999999999998,0.9999999999999996,0.849582054909183
0.6980000000000002,0.3,1.0,0.0,0.2980000000000001,0.30199999999999966,0.29800000000000015,0.3019999999999998,0.9999999999999999,0.9082909872365748
0.6990000000000002,0.3,1.0,0.0,0.2990000000000002,0.3009999999999999,0.29900000000000015,0.3009999999999998,1.0000000000000007,0.769009265442813
