v,t,w,lm,E_valence_M,E_conduction_M,Delta_M,m_M,2abs_m_M
0.6450000000000001,0.3,1.0,0.0,0.245,0.35499999999999987,0.10999999999999988,-0.05499999999999994,0.10999999999999988
0.6460000000000001,0.3,1.0,0.0,0.24600000000000027,0.3539999999999995,0.10799999999999921,-0.053999999999999826,0.10799999999999965
0.6470000000000001,0.3,1.0,0.0,0.24700000000000025,0.353,0.10599999999999973,-0.052999999999999936,0.10599999999999987
0.6480000000000001,0.3,1.0,0.0,0.24800000000000005,0.35199999999999976,0.1039999999999997,-0.051999999999999824,0.10399999999999965
0.6490000000000001,0.3,1.0,0.0,0.24900000000000028,0.351,0.1019999999999997,-0.050999999999999934,0.10199999999999987
0.6500000000000001,0.3,1.0,0.0,0.25,0.34999999999999976,0.09999999999999976,-0.04999999999999982,0.09999999999999964
0.6510000000000001,0.3,1.0,0.0,0.2510000000000003,0.34900000000000003,0.09799999999999975,-0.04899999999999993,0.09799999999999986
0.6520000000000001,0.3,1.0,0.0,0.2519999999999999,0.34799999999999975,0.09599999999999986,-0.04799999999999982,0.09599999999999964
0.6530000000000001,0.3,1.0,0.0,0.25300000000000034,0.3469999999999999,0.09399999999999958,-0.04699999999999993,0.09399999999999986
0.6540000000000001,0.3,1.0,0.0,0.254,0.34599999999999986,0.09199999999999986,-0.04599999999999982,0.09199999999999964
0.6550000000000001,0.3,1.0,0.0,0.25499999999999995,0.34499999999999986,0.08999999999999991,-0.04499999999999993,0.08999999999999986
0.6560000000000001,0.3,1.0,0.0,0.25599999999999995,0.34399999999999964,0.08799999999999969,-0.04399999999999982,0.08799999999999963
0.6570000000000001,0.3,1.0,0.0,0.2570000000000003,0.3429999999999998,0.08599999999999952,-0.04299999999999993,0.08599999999999985
0.6580000000000001,0.3,1.0,0.0,0.25799999999999995,0.34199999999999975,0.0839999999999998,-0.041999999999999815,0.08399999999999963
0.6590000000000001,0.3,1.0,0.0,0.25900000000000056,0.3409999999999999,0.08199999999999935,-0.040999999999999925,0.08199999999999985
0.6600000000000001,0.3,1.0,0.0,0.26000000000000023,0.34,0.0799999999999998,-0.039999999999999813,0.07999999999999963
0.6610000000000001,0.3,1.0,0.0,0.26099999999999984,0.3389999999999997,0.07799999999999985,-0.038999999999999924,0.07799999999999985
