point_id,v,t,lm,gap,chern,z2,edge_state,corner_state,Wilson_loop,category
v_0p10_t_0p80_lm_1p00,0.1,0.8,1.0,1.1999999999999986,-2.0419359081255907e-16,1,0,0,-1.0316446311199994,robust_nontrivial
v_0p10_t_0p90_lm_0p50,0.1,0.9,0.5,-1.2628786905111156e-15,-1.301707709678687e-16,0,1,0,-0.007933755079647536,near_transition
v_0p10_t_0p90_lm_0p70,0.1,0.9,0.7,0.7999999999999979,7.782431444297671e-17,1,0,0,0.6654156994727516,robust_nontrivial
v_0p10_t_0p90_lm_0p80,0.1,0.9,0.8,1.199999999999999,-1.2845780939734574e-16,1,0,0,-1.051327138580608,robust_nontrivial
v_0p10_t_0p90_lm_0p90,0.1,0.9,0.9,1.399999999999997,-1.635964272246486e-16,1,0,0,1.2688680961941847,robust_nontrivial
v_0p10_t_0p90_lm_1p00,0.1,0.9,1.0,1.599999999999997,-3.6397244872963036e-17,1,0,0,-1.4032590707414165,robust_nontrivial
v_0p10_t_1p00_lm_0p50,0.1,1.0,0.5,-2.6922908347160046e-15,-1.1989682151815573e-16,1,1,0,0.9119642634362664,near_transition
v_0p10_t_1p00_lm_0p70,0.1,1.0,0.7,0.7999999999999978,6.560176680032853e-17,1,0,0,-0.7747889246989572,robust_nontrivial
v_0p10_t_1p00_lm_0p90,0.1,1.0,0.9,1.5999999999999979,-1.2174697107883773e-16,1,0,0,0.9835281817426151,robust_nontrivial
v_0p20_t_0p00_lm_0p30,0.2,0.0,0.3,0.7999999999999996,1.7454131959324106e-16,1,0,0,-0.8745821112556929,robust_nontrivial
v_0p20_t_0p00_lm_0p40,0.2,0.0,0.4,0.39999999999999875,9.922530679404646e-17,1,0,0,-0.6371143616077641,robust_nontrivial
v_0p20_t_0p00_lm_0p50,0.2,0.0,0.5,-8.049116928532385e-16,-2.1814065293807486e-16,0,1,0,2.4477363182745644,near_transition
v_0p20_t_0p10_lm_0p00,0.2,0.1,0.0,1.399999999999999,9.145873559832434e-17,1,0,0,0.7058531795787727,robust_nontrivial
v_0p20_t_0p10_lm_0p50,0.2,0.1,0.5,-7.216449660063518e-16,-1.084464280319714e-16,0,1,0,-0.15293840115824017,near_transition
