point_id,special_rank,special_score,v,t,lm,w,size,min_abs_energy,count_absE_le_0p02,count_absE_le_0p05,near_zero_gap_estimate
v_1p20_t_0p50_lm_0p30,12,147.24788223069194,1.2,0.5,0.3,0.8,20,0.0028065685609871154,18,64,0.006157321548527361
v_1p10_t_0p50_lm_0p40,13,135.73436419814848,1.1,0.5,0.4,0.8999999999999999,12,0.007461050366929634,4,10,0.015340019087078546
v_1p10_t_0p50_lm_0p40,13,135.73436419814848,1.1,0.5,0.4,0.8999999999999999,16,0.002178871761739603,6,14,0.014448257067574992
v_1p10_t_0p50_lm_0p40,13,135.73436419814848,1.1,0.5,0.4,0.8999999999999999,20,0.0008191098663038594,6,18,0.011812573817596995
v_0p60_t_0p50_lm_0p20,14,126.1662217801202,0.6,0.5,0.2,1.4,12,0.0001389446433318048,6,12,0.011171482707215944
v_0p60_t_0p50_lm_0p20,14,126.1662217801202,0.6,0.5,0.2,1.4,16,0.008318283516604918,6,14,0.019620936162851633
v_0p60_t_0p50_lm_0p20,14,126.1662217801202,0.6,0.5,0.2,1.4,20,0.0009255738628869041,6,20,0.01265093525621553
v_0p30_t_0p50_lm_0p30,15,123.08739034212766,0.3,0.5,0.3,1.7,12,0.0007565329356083395,6,8,0.01384963395006946
v_0p30_t_0p50_lm_0p30,15,123.08739034212766,0.3,0.5,0.3,1.7,16,0.0008639103985045103,6,10,0.020844106885637162
v_0p30_t_0p50_lm_0p30,15,123.08739034212766,0.3,0.5,0.3,1.7,20,0.0009391220867145871,6,16,0.008682317443360172
v_1p30_t_0p50_lm_0p10,16,121.76747422253446,1.3,0.5,0.1,0.7,12,0.005122094497992099,10,22,0.01669343178598165
v_1p30_t_0p50_lm_0p10,16,121.76747422253446,1.3,0.5,0.1,0.7,16,0.007627975375156542,14,30,0.016332908164308133
v_1p30_t_0p50_lm_0p10,16,121.76747422253446,1.3,0.5,0.1,0.7,20,0.005699765485330671,18,58,0.012679379939208332
v_1p30_t_0p50_lm_0p20,17,117.65441416422401,1.3,0.5,0.2,0.7,12,0.00401191583754686,8,18,0.01409252084809075
v_1p30_t_0p50_lm_0p20,17,117.65441416422401,1.3,0.5,0.2,0.7,16,0.0015885366833939597,12,32,0.004921690900404325
v_1p30_t_0p50_lm_0p20,17,117.65441416422401,1.3,0.5,0.2,0.7,20,0.005863209787245922,18,54,0.011975366109975405
