v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,max_position_x,max_position_y,classification,bulk_gap_used,in_gap_window
0.4,10,10,393,0.0004999376802045984,0.0004999376802045984,0.2400109454157572,0.7400674222125813,0.019921632371661224,0,2,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,394,0.001213755242551444,0.001213755242551444,0.3730209302829123,0.6124738715003456,0.014505198216743339,9,8,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,395,0.001213755242551561,0.001213755242551561,0.3730209302829095,0.6124738715003473,0.014505198216743143,9,8,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,396,0.0053232009725076475,0.0053232009725076475,0.3920224801033808,0.593203581468599,0.014773938428020189,0,1,bulk_or_mixed_state,0.817874845550107,0.32714993822004285
0.4,10,10,397,0.005323200972507722,0.005323200972507722,0.3920224801033812,0.5932035814685978,0.014773938428020423,0,1,bulk_or_mixed_state,0.817874845550107,0.32714993822004285
0.4,10,10,398,0.006120613967137376,0.006120613967137376,0.3737335119685446,0.6108453451268556,0.015421142904599141,8,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,399,0.006120613967137563,0.006120613967137563,0.37373351196855464,0.6108453451268456,0.015421142904598806,8,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,400,0.009217890128973474,0.009217890128973474,0.439729352503109,0.5472053020255472,0.013065345471342802,0,8,bulk_or_mixed_state,0.817874845550107,0.32714993822004285
0.4,10,10,401,0.009217890128973479,0.009217890128973479,0.43972935250308964,0.5472053020255676,0.013065345471342998,8,0,bulk_or_mixed_state,0.817874845550107,0.32714993822004285
0.4,10,10,402,0.009643108929196538,0.009643108929196538,0.4652311351196837,0.5222818695343304,0.01248699534598667,1,0,bulk_or_mixed_state,0.817874845550107,0.32714993822004285
0.4,10,10,403,0.009643108929196618,0.009643108929196618,0.4652311351196583,0.522281869534355,0.012486995345987408,0,1,bulk_or_mixed_state,0.817874845550107,0.32714993822004285
0.4,10,10,404,0.011636219468362402,0.011636219468362402,0.374202862523321,0.6116927177637249,0.014104419712955108,0,8,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,405,0.0116362194683626,0.0116362194683626,0.3742028625233018,0.6116927177637435,0.014104419712954498,8,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,406,0.01184805970605212,0.01184805970605212,0.4309259239820104,0.5562828214916112,0.01279125452637843,0,1,bulk_or_mixed_state,0.817874845550107,0.32714993822004285
0.4,10,10,407,0.011848059706052225,0.011848059706052225,0.4309259239819581,0.5562828214916635,0.012791254526378812,0,1,bulk_or_mixed_state,0.817874845550107,0.32714993822004285
0.4,10,10,408,0.013095743741873112,0.013095743741873112,0.21871910522786023,0.7639870105663589,0.01729388420578122,7,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,409,0.013095743741873438,0.013095743741873438,0.21871910522784277,0.7639870105663741,0.017293884205783584,7,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,410,0.013188130500193782,0.013188130500193782,0.2707941637723376,0.7129601093819282,0.016245726845734065,0,7,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,411,0.013188130500194087,0.013188130500194087,0.2707941637723281,0.7129601093819405,0.016245726845733017,7,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,412,0.013820141094264502,0.013820141094264502,0.15280203400901754,0.8284909454307415,0.018707020560241705,4,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,413,0.013820141094264847,0.013820141094264847,0.15280203400908754,0.8284909454306716,0.018707020560240217,0,4,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,414,0.013914350523344651,0.013914350523344651,0.08346114042096087,0.8960958333277995,0.020443026251239494,0,4,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,415,0.013914350523344879,0.013914350523344879,0.08346114042093551,0.8960958333278242,0.020443026251239393,4,0,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,416,0.014059798945257069,0.014059798945257069,0.329319841086375,0.6546680483253566,0.016012110588269384,9,1,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,417,0.014059798945257801,0.014059798945257801,0.32931984108632595,0.6546680483254039,0.016012110588270588,9,1,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,418,0.017064186379889133,0.017064186379889133,0.4165534546941393,0.5706445081922588,0.012802037113601714,8,9,bulk_or_mixed_state,0.817874845550107,0.32714993822004285
0.4,10,10,419,0.017064186379889188,0.017064186379889188,0.4165534546941396,0.5706445081922598,0.012802037113601667,8,9,bulk_or_mixed_state,0.817874845550107,0.32714993822004285
0.4,10,10,420,0.02897706891510233,0.02897706891510233,0.33630106684140987,0.6496871867996381,0.014011746358951502,9,2,edge_state,0.817874845550107,0.32714993822004285
0.4,10,10,421,0.028977068915102395,0.028977068915102395,0.3363010668414126,0.6496871867996361,0.014011746358951388,2,9,edge_state,0.817874845550107,0.32714993822004285
