v,t,w,lm,direct_gap,indirect_gap,kx_min,ky_min,chern_total,z2,z2_reliable,phase_label,comment,z2_wilson,z2_fu_kane,wilson_winding_kx,wilson_winding_ky,fu_kane_quality,k_u_min,k_v_min
0.46,0.3,1.0,0.0,0.4799999999999997,0.4799999999999989,3.141592653589793,3.141592653589793,3.912674433213564e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,0.9726679332384266,-0.002750247806386743,7.771561172376096e-16,0.5,0.5
0.47,0.3,1.0,0.0,0.45999999999999985,0.45999999999999897,3.141592653589793,3.141592653589793,-8.221176726932287e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,0.717732124584836,2.0171691980957944,1.2212453270876722e-15,0.5,0.5
0.48,0.3,1.0,0.0,0.43999999999999956,0.4399999999999989,3.141592653589793,3.141592653589793,1.9799073377427197e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,0.9887425902319069,-2.450742138090587,1.3322676295501878e-15,0.5,0.5
0.49,0.3,1.0,0.0,0.4199999999999997,0.4199999999999986,3.141592653589793,3.141592653589793,9.455565200588255e-17,0,1,trivial_insulator,z2 source=fu_kane,1,0,-4.987590054705699,-0.9517297651013165,1.5543122344752192e-15,0.5,0.5
0.5,0.3,1.0,0.0,0.39999999999999963,0.39999999999999913,3.141592653589793,3.141592653589793,-2.9094355880695186e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,1.2809245073906392,-1.6419299730409416,1.2212453270876722e-15,0.5,0.5
0.51,0.3,1.0,0.0,0.37999999999999956,0.3799999999999989,3.141592653589793,3.141592653589793,2.082892769900126e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,3.56767601804389,2.5176199142758504,1.5543122344752192e-15,0.5,0.5
0.52,0.3,1.0,0.0,0.36,0.35999999999999904,3.141592653589793,3.141592653589793,-4.729406369163913e-17,0,1,trivial_insulator,z2 source=fu_kane,1,0,-1.482275146521063,0.5308253644947041,1.2212453270876722e-15,0.5,0.5
0.53,0.3,1.0,0.0,0.33999999999999975,0.33999999999999886,3.141592653589793,3.141592653589793,-3.154083163490182e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,-0.5234144436928438,-2.998763347931558,1.3322676295501878e-15,0.5,0.5
0.54,0.3,1.0,0.0,0.3199999999999996,0.31999999999999906,3.141592653589793,3.141592653589793,-3.7302546964183043e-17,0,1,trivial_insulator,z2 source=fu_kane,0,0,1.945407129723459,-0.0024470075473585675,9.992007221626409e-16,0.5,0.5
0.55,0.3,1.0,0.0,0.29999999999999954,0.2999999999999992,3.141592653589793,3.141592653589793,-5.604411357518905e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,-2.02902001224214,0.011669352007314275,1.3322676295501878e-15,0.5,0.5
0.56,0.3,1.0,0.0,0.28,0.27999999999999936,3.141592653589793,3.141592653589793,-5.761718584444774e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,3.486434798451098,0.48690271011507136,1.1102230246251565e-15,0.5,0.5
0.57,0.3,1.0,0.0,0.2600000000000001,0.25999999999999934,3.141592653589793,3.141592653589793,4.39025848329053e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-2.6635933203347526,0.06817526941358543,1.7763568394002505e-15,0.5,0.5
0.58,0.3,1.0,0.0,0.2400000000000001,0.23999999999999894,3.141592653589793,3.141592653589793,-8.095285055499587e-17,0,1,trivial_insulator,z2 source=fu_kane,0,0,0.4909871390420432,-1.8374606459537337,1.2212453270876722e-15,0.5,0.5
0.59,0.3,1.0,0.0,0.21999999999999958,0.21999999999999864,3.141592653589793,3.141592653589793,-3.108331652621626e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-2.4859465058779477,-0.5138800085458013,1.7763568394002505e-15,0.5,0.5
0.6,0.3,1.0,0.0,0.19999999999999982,0.19999999999999915,3.141592653589793,3.141592653589793,-1.47990194890741e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,-0.5080945601331195,2.6020861366523365,8.881784197001252e-16,0.5,0.5
0.61,0.3,1.0,0.0,0.17999999999999955,0.17999999999999888,3.141592653589793,3.141592653589793,2.886810860699248e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.4976432430551067,-3.0116354524160647,1.1102230246251565e-15,0.5,0.5
0.62,0.3,1.0,0.0,0.15999999999999973,0.1599999999999994,3.141592653589793,3.141592653589793,-3.9881161792306154e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,-3.0073054204066967,1.012384147940074,1.7763568394002505e-15,0.5,0.5
0.63,0.3,1.0,0.0,0.13999999999999968,0.13999999999999896,3.141592653589793,3.141592653589793,-1.135923321387309e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,3.517774165637902,0.6509157848678694,1.3322676295501878e-15,0.5,0.5
0.64,0.3,1.0,0.0,0.1199999999999995,0.119999999999999,3.141592653589793,3.141592653589793,2.273966157839145e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,2.991628209517869,0.36072816191098656,1.3322676295501878e-15,0.5,0.5
0.65,0.3,1.0,0.0,0.09999999999999984,0.09999999999999934,3.141592653589793,3.141592653589793,3.9414320046403806e-16,0,1,trivial_insulator,z2 source=fu_kane,0,0,0.0032419815133575857,2.2095726317193987,1.1102230246251565e-15,0.5,0.5
0.66,0.3,1.0,0.0,0.07999999999999974,0.07999999999999918,3.141592653589793,3.141592653589793,-6.913340782490102e-17,0,1,trivial_insulator,z2 source=fu_kane,1,0,-0.9325509584325868,-1.2793039082040112,1.3322676295501878e-15,0.5,0.5
0.662,0.3,1.0,0.0,0.07599999999999973,0.07599999999999901,3.141592653589793,3.141592653589793,-2.510736766059862e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,4.334848500089424,-2.706464304304108,1.5543122344752192e-15,0.5,0.5
0.664,0.3,1.0,0.0,0.07199999999999979,0.07199999999999918,3.141592653589793,3.141592653589793,2.4290978408853283e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,0.43499481787048927,-0.6030309855003192,1.5543122344752192e-15,0.5,0.5
0.666,0.3,1.0,0.0,0.06799999999999973,0.06799999999999878,3.141592653589793,3.141592653589793,-6.681854626860876e-17,0,1,trivial_insulator,z2 source=fu_kane,1,0,-1.4808898001475026,3.0143406330230786,1.3322676295501878e-15,0.5,0.5
0.668,0.3,1.0,0.0,0.06399999999999972,0.06399999999999911,3.141592653589793,3.141592653589793,4.0233695253134195e-17,0,1,trivial_insulator,z2 source=fu_kane,0,0,-0.43545871728068763,2.0419231620072815,1.887379141862766e-15,0.5,0.5
0.67,0.3,1.0,0.0,0.059999999999999776,0.05999999999999894,3.141592653589793,3.141592653589793,-1.910784368092272e-17,0,1,trivial_insulator,z2 source=fu_kane,1,0,1.3353068989875883,1.3546931726313538,1.887379141862766e-15,0.5,0.5
0.672,0.3,1.0,0.0,0.05599999999999983,0.05599999999999894,3.141592653589793,3.141592653589793,3.0248973419504084e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,1.847051321920361,-1.4400769562960647,6.661338147750939e-16,0.5,0.5
0.674,0.3,1.0,0.0,0.051999999999999824,0.05199999999999905,3.141592653589793,3.141592653589793,3.8188834857407123e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,-1.4856083888313596,2.9057090522492612,1.5543122344752192e-15,0.5,0.5
0.676,0.3,1.0,0.0,0.04799999999999993,0.04799999999999882,3.141592653589793,3.141592653589793,2.353808874041954e-19,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.8893571214611548,2.0734450858868017,1.5543122344752192e-15,0.5,0.5
0.678,0.3,1.0,0.0,0.043999999999999595,0.04399999999999887,3.141592653589793,3.141592653589793,3.517262513689888e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.9797107489939655,-3.598876405439989,1.1102230246251565e-15,0.5,0.5
0.68,0.3,1.0,0.0,0.03999999999999987,0.03999999999999937,3.141592653589793,3.141592653589793,-1.4271613777570285e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-1.1411361251436654,-2.1227551157538804,2.220446049250313e-15,0.5,0.5
0.682,0.3,1.0,0.0,0.03599999999999981,0.03599999999999898,3.141592653589793,3.141592653589793,3.5741653120172746e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,0.6531228587792542,-0.5058062525187151,1.6653345369377348e-15,0.5,0.5
0.684,0.3,1.0,0.0,0.031999999999999695,0.031999999999999196,3.141592653589793,3.141592653589793,-2.6840128639728565e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,2.994316455725406,0.01232510230593655,1.7763568394002505e-15,0.5,0.5
0.686,0.3,1.0,0.0,0.027999999999999692,0.027999999999999192,3.141592653589793,3.141592653589793,-3.6860999325937663e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.5445204730380271,-1.9728183540757107,1.7763568394002505e-15,0.5,0.5
0.688,0.3,1.0,0.0,0.0240000000000003,0.02399999999999952,3.141592653589793,3.141592653589793,-1.6604743187044736e-16,0,1,trivial_insulator,z2 source=fu_kane,1,0,0.9636358037076236,-1.1006589300805312,1.5543122344752192e-15,0.5,0.5
0.69,0.3,1.0,0.0,0.019999999999999685,0.019999999999998463,3.141592653589793,3.141592653589793,7.664054422300213e-17,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.455411212593002,-0.7221136140602046,1.5543122344752192e-15,0.5,0.5
0.692,0.3,1.0,0.0,0.015999999999999792,0.01599999999999918,3.141592653589793,3.141592653589793,4.1461411951671595e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-0.03205230633140967,-0.5590405265684579,1.7763568394002505e-15,0.5,0.5
0.694,0.3,1.0,0.0,0.011999999999999955,0.011999999999998678,3.141592653589793,3.141592653589793,-2.7302898044742387e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,1.479729424835481,0.4063706942521741,1.3322676295501878e-15,0.5,0.5
0.696,0.3,1.0,0.0,0.00799999999999923,0.00799999999999873,3.141592653589793,3.141592653589793,4.323639397319814e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,3.00968262161587,-1.5085866200906546,1.4432899320127035e-15,0.5,0.5
0.698,0.3,1.0,0.0,0.003999999999999948,0.003999999999998727,3.141592653589793,3.141592653589793,-1.7860591149986566e-16,0,1,trivial_insulator,z2 source=fu_kane,-1,0,-1.7451499296666726,-1.0218158852494594,8.881784197001252e-16,0.5,0.5
0.7,0.3,1.0,0.0,5.551115123125783e-17,-7.216449660063518e-16,3.141592653589793,3.141592653589793,-1.108441541971291e-16,1,0,critical_or_gapless,gap below reliability threshold; z2 unreliable,1,1,-2.5055002993988564,-1.4999784104041445,0.7713490271908212,0.5,0.5
0.702,0.3,1.0,0.0,5.551115123125783e-17,-1.0547118733938987e-15,3.141592653589793,3.141592653589793,1.1167603967801288e-17,0,0,critical_or_gapless,gap below reliability threshold; z2 source=fu_kane,-1,0,2.590195789857935,-0.38460649115140566,1.2212453270876722e-15,0.5,0.5
0.704,0.3,1.0,0.0,5.551115123125783e-17,-9.992007221626409e-16,3.141592653589793,3.141592653589793,2.361230224654342e-16,0,0,critical_or_gapless,gap below reliability threshold; z2 source=fu_kane,0,0,-0.0860539663243454,-2.4743416864878043,1.2212453270876722e-15,0.5,0.5
