lm,v,bulk_gap,spin_conserved,commutator_norm_H_sz,C_up,C_down,C_spin,C_up_rounded,C_down_rounded,C_spin_rounded,integer_error_up,integer_error_down,crossings_ref_0p45,crossings_ref_0p50,crossings_ref_0p55,Z2_crossing_raw,Z2_from_spin_chern,Z2_final,QSH_supported,warning
0.4,1.4,0.44339811320565997,1,0.0,1.6368803019238364e-16,1.7172139740338468e-16,-4.016683605500522e-18,0,0,0,1.6368803019238364e-16,1.7172139740338468e-16,82,89,87,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.4,1.5,0.6180339887498945,1,0.0,2.4175149012667152e-17,-8.100268090617467e-17,5.2588914959420914e-17,0,0,0,2.4175149012667152e-17,8.100268090617467e-17,58,64,70,0,0,0,0,
0.5,0.1,1.3089936033579197,1,0.0,-1.4931415567659751e-16,1.8733069126314016e-16,-1.6832242346986884e-16,0,0,0,1.4931415567659751e-16,1.8733069126314016e-16,71,80,79,0,0,0,0,
0.5,0.2,1.11984344710811,1,0.0,1.2273670578855147e-16,-6.378529459920309e-17,9.326100019387729e-17,0,0,0,1.2273670578855147e-16,6.378529459920309e-17,52,54,52,0,0,0,0,
0.5,0.3,0.9334798993257797,1,0.0,1.2123956869185055e-16,-2.937649102048179e-17,7.530802985616617e-17,0,0,0,1.2123956869185055e-16,2.937649102048179e-17,79,79,66,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.5,0.4,0.7510712169281033,1,0.0,9.788815952138016e-17,-1.6354024065145077e-16,1.3071420008641546e-16,0,0,0,9.788815952138016e-17,1.6354024065145077e-16,72,85,82,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.5,0.5,0.5744885007944924,1,0.0,-1.396204316774366e-16,-1.1338342885338373e-16,-1.3118501412026437e-17,0,0,0,1.396204316774366e-16,1.1338342885338373e-16,86,75,67,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.5,0.6,0.4068543041766366,1,0.0,1.7399338592892272e-16,2.234972032015354e-16,-2.475190863630633e-17,0,0,0,1.7399338592892272e-16,2.234972032015354e-16,68,69,70,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.5,0.7,0.25356483704954536,1,0.0,1.6953287139019763e-16,-1.545233409463564e-16,1.62028106168277e-16,0,0,0,1.6953287139019763e-16,1.545233409463564e-16,75,57,49,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.5,0.8,0.12401159170201737,1,0.0,1.8143919947788342e-17,1.8010445629352438e-16,-8.098026817286802e-17,0,0,0,1.8143919947788342e-17,1.8010445629352438e-16,101,91,92,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.5,0.9,0.03334621081236756,1,0.0,3.0994203437911745e-16,-6.675933556352397e-17,1.883506849713207e-16,0,0,0,3.0994203437911745e-16,6.675933556352397e-17,54,66,65,0,0,0,0,
0.5,1.0,4.600641693907554e-32,1,0.0,2.0,-2.000000000000001,2.0000000000000004,2,-2,2,0.0,8.881784197001252e-16,99,89,77,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.5,1.1,0.03334621081236765,1,0.0,-1.3759329000073568e-17,1.3484238807893886e-16,-7.430085853950621e-17,0,0,0,1.3759329000073568e-17,1.3484238807893886e-16,76,72,65,0,0,0,0,
0.5,1.2,0.12401159170201734,1,0.0,-3.1202446061360355e-17,-5.312160156537347e-17,1.0959577752006558e-17,0,0,0,3.1202446061360355e-17,5.312160156537347e-17,56,54,55,0,0,0,0,
0.5,1.3,0.2535648370495455,1,0.0,8.938481399938915e-17,-8.524335668935668e-17,8.731408534437291e-17,0,0,0,8.938481399938915e-17,8.524335668935668e-17,74,65,74,1,0,0,0,"WARNING: Wilson crossing Z2 disagrees with spin Chern parity. Since spin is conserved, final Z2 follows C_spin mod 2."
0.5,1.4,0.40685430417663604,1,0.0,2.1913598504835055e-16,1.137044250887364e-16,5.2715779979807076e-17,0,0,0,2.1913598504835055e-16,1.137044250887364e-16,57,60,64,0,0,0,0,
0.5,1.5,0.5744885007944924,1,0.0,-9.825323636918217e-17,2.2144934247597995e-16,-1.5985128942258107e-16,0,0,0,9.825323636918217e-17,2.2144934247597995e-16,75,72,77,0,0,0,0,
