v,alpha,state_index,energy
0.5,0.5,81,1.17329802854175
0.5,0.5,82,1.2218113195476121
0.5,0.5,83,1.3498496321329685
0.5,0.5,84,1.3849615897595149
0.5,0.5,85,1.3871131244315242
0.5,0.5,86,1.4352384389281956
0.5,0.5,87,1.4391089313126932
0.5,0.5,88,1.5283506725214477
0.5,0.5,89,1.54941702357289
0.5,0.5,90,1.5506336410981445
0.5,0.5,91,1.5506906562484102
0.5,0.5,92,1.5924080956151243
0.5,0.5,93,1.593652689700806
0.5,0.5,94,1.668279793043172
0.5,0.5,95,1.6760705295560963
0.5,0.5,96,1.6836713281568771
0.5,0.5,97,1.7835610041019232
0.5,0.5,98,1.7898132950815668
0.5,0.5,99,1.880087243087554
0.5,0.75,0,-1.5197252078155787
0.5,0.75,1,-1.4898362272759407
0.5,0.75,2,-1.4664835875590738
0.5,0.75,3,-1.465613861897482
0.5,0.75,4,-1.462678506678134
0.5,0.75,5,-1.4603674452255317
0.5,0.75,6,-1.4571551642755864
0.5,0.75,7,-1.456562647289209
0.5,0.75,8,-1.448446130857161
0.5,0.75,9,-1.3759166539895724
0.5,0.75,10,-1.3716895709776242
0.5,0.75,11,-1.3630551480770872
0.5,0.75,12,-1.333923751046437
0.5,0.75,13,-1.3335263963843123
0.5,0.75,14,-1.33214574277341
0.5,0.75,15,-1.3269826074506847
0.5,0.75,16,-1.2760454514548198
0.5,0.75,17,-1.2751446089665703
0.5,0.75,18,-1.2327930964144878
0.5,0.75,19,-1.226019079243871
0.5,0.75,20,-1.2234949405651878
0.5,0.75,21,-1.1914595954986025
0.5,0.75,22,-1.178389849551329
0.5,0.75,23,-1.0892754970562937
0.5,0.75,24,-1.0825452405704892
0.5,0.75,25,-1.0539667975232745
0.5,0.75,26,-1.0503391936785087
0.5,0.75,27,-1.0472342402468189
0.5,0.75,28,-1.028553101737111
0.5,0.75,29,-0.9864192994860265
0.5,0.75,30,-0.8938544691823638
0.5,0.75,31,-0.8261938987426074
0.5,0.75,32,-0.8171461395182862
0.5,0.75,33,-0.8132277883203202
0.5,0.75,34,-0.8084766820775087
0.5,0.75,35,-0.7547717627244123
0.5,0.75,36,-0.7534217856976657
0.5,0.75,37,-0.6704181087902561
0.5,0.75,38,-0.6437345923406128
0.5,0.75,39,-0.46016426567905105
0.5,0.75,40,-0.30004087179475086
0.5,0.75,41,-0.2999906786302994
0.5,0.75,42,-0.2250025161860316
0.5,0.75,43,-0.2249964397576554
0.5,0.75,44,-0.08991183552786398
0.5,0.75,45,-0.0890959143048842
0.5,0.75,46,-0.07215986906711197
0.5,0.75,47,-0.07174135000235903
0.5,0.75,48,-0.07014376463455196
0.5,0.75,49,-0.068015325253237
0.5,0.75,50,-0.05030453940444668
0.5,0.75,51,-0.045756485510640675
0.5,0.75,52,-0.030032315519472847
0.5,0.75,53,-0.0060984268773814744
0.5,0.75,54,0.014998387431464383
0.5,0.75,55,0.015798147659171854
0.5,0.75,56,0.14063041190477488
0.5,0.75,57,0.16243507812864028
0.5,0.75,58,0.2584048300432445
0.5,0.75,59,0.39028325263295105
0.5,0.75,60,0.5658065250917602
0.5,0.75,61,0.5803391891221068
0.5,0.75,62,0.6048716706920991
0.5,0.75,63,0.6072975426190858
0.5,0.75,64,0.6092705920561476
0.5,0.75,65,0.6105225694085815
0.5,0.75,66,0.6147776731489084
0.5,0.75,67,0.7079018443947329
0.5,0.75,68,0.7449551889164322
0.5,0.75,69,0.7646748786470804
0.5,0.75,70,0.7737714480459728
0.5,0.75,71,0.7748034974033906
0.5,0.75,72,0.8092438252876226
0.5,0.75,73,0.8445978293322439
0.5,0.75,74,0.8545943283396878
0.5,0.75,75,0.8818745581538568
0.5,0.75,76,0.8882464757874962
0.5,0.75,77,0.9405979926366491
0.5,0.75,78,0.9829482160990597
0.5,0.75,79,1.1592159025557882
0.5,0.75,80,1.1604716085812639
0.5,0.75,81,1.232891782329448
0.5,0.75,82,1.255331351826127
0.5,0.75,83,1.411077980268948
0.5,0.75,84,1.4189364269711275
0.5,0.75,85,1.4198969345190664
0.5,0.75,86,1.4808226808137073
0.5,0.75,87,1.4819243390692551
0.5,0.75,88,1.5859906461355167
0.5,0.75,89,1.5860086270436822
0.5,0.75,90,1.594341685675071
0.5,0.75,91,1.6042919727904645
0.5,0.75,92,1.637879998517358
0.5,0.75,93,1.6384122470572702
0.5,0.75,94,1.7339775327529778
0.5,0.75,95,1.7354381854531735
0.5,0.75,96,1.7448970205263568
