v,alpha,state_index,rank_by_absE,energy,abs_energy,W_corner,W_edge,W_bulk,IPR
0.8,0.0,51,2,0.048355345932796036,0.048355345932796036,0.29964765906531526,0.5898454982855826,0.11050684264910227,0.05501540839308905
0.8,0.0,48,3,-0.04835534593279623,0.04835534593279623,0.2996476590653159,0.589845498285583,0.11050684264910128,0.055015408393089195
0.8,0.0,52,4,0.10504289389351673,0.10504289389351673,0.2786167289019861,0.4143202901675339,0.30706298093047923,0.04861843602327191
0.8,0.0,47,5,-0.10504289389351701,0.10504289389351701,0.2786167289019825,0.41432029016753463,0.3070629809304822,0.04861843602327193
0.8,0.0,53,6,0.11425406724198203,0.11425406724198203,0.017233616780715548,0.530120991299093,0.4526453919201908,0.052781593855010196
0.8,0.0,46,7,-0.11425406724198245,0.11425406724198245,0.017233616780714528,0.5301209912990936,0.45264539192019176,0.05278159385501059
0.8,0.25,51,0,0.04092914818645234,0.04092914818645234,0.3141703630425581,0.5633939228917675,0.12243571406567418,0.05505772638688807
0.8,0.25,50,1,-0.05911890635365858,0.05911890635365858,0.2900748634745666,0.6003308950509872,0.1095942414744451,0.05491377241937041
0.8,0.25,49,2,-0.06804271511287127,0.06804271511287127,0.53493379915042,0.3861107896522813,0.07895541119729846,0.16173099224212248
0.8,0.25,48,3,-0.08057927874456627,0.08057927874456627,0.5018088387634854,0.39582581728773536,0.10236534394877837,0.1512665206137641
0.8,0.25,52,4,0.08533554452587463,0.08533554452587463,0.2758291945361047,0.40469353231430866,0.3194772731495864,0.05162569659574105
0.8,0.25,53,5,0.08786380307074967,0.08786380307074967,0.022098172312879936,0.5325538930962773,0.44534793459084254,0.05201980153443977
0.8,0.25,54,6,0.08836529680818016,0.08836529680818016,0.006275249011181663,0.5242032081682013,0.46952154282061653,0.07546685409034987
0.8,0.25,55,7,0.08972405933296895,0.08972405933296895,0.08998176345794864,0.49015423542742825,0.4198640011146229,0.055480367118729
0.8,0.5,51,0,0.042506988606226905,0.042506988606226905,0.35627457848529165,0.5238583158110444,0.11986710570366443,0.059525869490038345
0.8,0.5,52,1,0.05833774482358485,0.05833774482358485,0.0636222757860111,0.5124424752479416,0.4239352489660476,0.04698222818957192
0.8,0.5,53,2,0.05867312506392667,0.05867312506392667,0.027614907944788256,0.5397192692073469,0.43266582284786553,0.051268195766979
0.8,0.5,54,3,0.062389236202070576,0.062389236202070576,0.11471527905683097,0.528431529083618,0.35685319185955056,0.05464503383317641
0.8,0.5,55,4,0.06367468751701795,0.06367468751701795,0.03524622116145895,0.5015921964467062,0.4631615823918338,0.05827379758941799
0.8,0.5,56,5,0.06633074459724417,0.06633074459724417,0.210521491192339,0.41157158964033524,0.3779069191673254,0.05271347861861485
0.8,0.5,50,6,-0.06745385635002404,0.06745385635002404,0.2840477141609806,0.5976995678745131,0.11825271796450575,0.05418658574611529
0.8,0.5,57,7,0.08003013007548856,0.08003013007548856,0.26643658630257316,0.5814638543159442,0.152099559381483,0.053606074116626955
0.8,0.75,51,0,0.027126416999082862,0.027126416999082862,0.04326102544669778,0.5309094383709397,0.42582953618236286,0.04931117402558989
0.8,0.75,52,1,0.02724436308667472,0.02724436308667472,0.034386279036969884,0.5514377290791708,0.4141759918838596,0.05037626769123175
0.8,0.75,53,2,0.03103814157623715,0.03103814157623715,0.19122574172259532,0.5123335705734846,0.29644068770392046,0.053946512769239764
0.8,0.75,54,3,0.032716499253988486,0.032716499253988486,0.12323005511605431,0.5305041028206047,0.34626584206334093,0.05509862523137369
0.8,0.75,55,4,0.04577272942833,0.04577272942833,0.22092221760091657,0.3981026799077251,0.38097510249135846,0.048095437014512986
0.8,0.75,56,5,0.05084776440663584,0.05084776440663584,0.2621599537567801,0.5976682719398492,0.14017177430337116,0.053133687707736806
0.8,0.75,57,6,0.06407602439453586,0.06407602439453586,0.17419746167962197,0.4918013678148151,0.33400117050556316,0.04229210374063085
0.8,0.75,50,7,-0.06927594815526651,0.06927594815526651,0.27947647392327213,0.5886024610807468,0.13192106499598125,0.052409042560989355
0.8,1.0,53,0,0.0018155332372999607,0.0018155332372999607,0.13941951608103031,0.5308633586656704,0.329717125253299,0.06561022033093837
0.8,1.0,54,1,0.0018155332373007013,0.0018155332373007013,0.1394195160810296,0.5308633586656706,0.3297171252532999,0.06561022033093857
0.8,1.0,52,2,-0.005696583750387763,0.005696583750387763,0.03970422269264397,0.557265940999575,0.40302983630778083,0.06771904605349756
0.8,1.0,51,3,-0.00569658375038858,0.00569658375038858,0.039732950885436956,0.555120904391365,0.40514614472319765,0.06773270957162932
0.8,1.0,55,4,0.02396488247812481,0.02396488247812481,0.23171767936523946,0.47602587700464394,0.2922564436301164,0.051418031255610216
0.8,1.0,56,5,0.02396488247812505,0.02396488247812505,0.24445418991545026,0.5266288940448353,0.22891691603971498,0.05278969916709604
0.8,1.0,50,6,-0.06417179162215379,0.06417179162215379,0.27236919316417685,0.5850143116103944,0.14261649522542946,0.04996113375747142
0.8,1.0,57,7,0.09714909811466166,0.09714909811466166,0.1952724647093301,0.47024891546773023,0.33447861982294047,0.041609499424880576
