point_id,v,t,lm,w,obc_nx,obc_ny,eigvals_count,min_abs_energy,obc_gap,count_absE_le_0p01,count_absE_le_0p02,count_absE_le_0p05,special_score,special_rank,is_special,highlight_window_used
v_1p60_t_0p50_lm_0p30,1.6,0.5,0.3,0.3999999999999999,20,20,3200,0.2070713792992377,0.8139420178070188,0,0,0,0.46005533812144034,,0,
v_1p60_t_0p50_lm_0p40,1.6,0.5,0.4,0.3999999999999999,20,20,3200,0.20756642295006517,0.6150373938526044,0,0,0,0.4829736344559826,,0,
v_1p60_t_0p50_lm_0p50,1.6,0.5,0.5,0.3999999999999999,20,20,3200,0.20856427484751539,0.4171285496950323,0,0,0,0.5274151315268888,,0,
v_1p70_t_0p50_lm_0p00,1.7,0.5,0.0,0.30000000000000004,20,20,3200,0.4043201052881178,1.808138818119935,0,0,0,0.23104626934892372,,0,
v_1p70_t_0p50_lm_0p10,1.7,0.5,0.1,0.30000000000000004,20,20,3200,0.40433172403444995,1.6084748198704755,0,0,0,0.23515970819704698,,0,
v_1p70_t_0p50_lm_0p20,1.7,0.5,0.2,0.30000000000000004,20,20,3200,0.4043683113862062,1.4086010259501403,0,0,0,0.24043484121635508,,0,
v_1p70_t_0p50_lm_0p30,1.7,0.5,0.3,0.30000000000000004,20,20,3200,0.40443574708442775,1.2087839839892696,0,0,0,0.24744305881668235,,0,
v_1p70_t_0p50_lm_0p40,1.7,0.5,0.4,0.30000000000000004,20,20,3200,0.4045466774536092,1.009050657730196,0,0,0,0.2572139877413247,,0,
v_1p70_t_0p50_lm_0p50,1.7,0.5,0.5,0.30000000000000004,20,20,3200,0.4047275799508609,0.8094551599017242,0,0,0,0.27178769616041953,,0,
v_1p80_t_0p50_lm_0p00,1.8,0.5,0.0,0.19999999999999996,20,20,3200,0.6025921496849866,2.2050154370925554,0,0,0,0.15997044855983097,,0,
v_1p80_t_0p50_lm_0p10,1.8,0.5,0.1,0.19999999999999996,20,20,3200,0.6025950694891447,2.0051254512274133,0,0,0,0.16268242593148213,,0,
v_1p80_t_0p50_lm_0p20,1.8,0.5,0.2,0.19999999999999996,20,20,3200,0.6026041214492958,1.8051611848367806,0,0,0,0.16599514570428292,,0,
v_1p80_t_0p50_lm_0p30,1.8,0.5,0.3,0.19999999999999996,20,20,3200,0.6026202596460583,1.6052098423343715,0,0,0,0.17013185149608767,,0,
v_1p80_t_0p50_lm_0p40,1.8,0.5,0.4,0.19999999999999996,20,20,3200,0.6026453686866482,1.405275628206533,0,0,0,0.17544427935174725,,0,
v_1p80_t_0p50_lm_0p50,1.8,0.5,0.5,0.19999999999999996,20,20,3200,0.6026828803955653,1.205365760791134,0,0,0,0.18251718742194004,,0,
v_1p90_t_0p50_lm_0p00,1.9,0.5,0.0,0.10000000000000009,20,20,3200,0.8011935785495454,2.602353982847273,0,0,0,0.12290706023663918,,0,
v_1p90_t_0p50_lm_0p10,1.9,0.5,0.1,0.10000000000000009,20,20,3200,0.8011940306325207,2.402375204603553,0,0,0,0.12482623785088894,,0,
v_1p90_t_0p50_lm_0p20,1.9,0.5,0.2,0.10000000000000009,20,20,3200,0.8011954194473309,2.202381416253266,0,0,0,0.1270940193269756,,0,
v_1p90_t_0p50_lm_0p30,1.9,0.5,0.3,0.10000000000000009,20,20,3200,0.801197848737326,2.002389518639706,0,0,0,0.12981467880037265,,0,
v_1p90_t_0p50_lm_0p40,1.9,0.5,0.4,0.10000000000000009,20,20,3200,0.8012015137502816,1.8023999698576931,0,0,0,0.1331389703274458,,0,
v_1p90_t_0p50_lm_0p50,1.9,0.5,0.5,0.10000000000000009,20,20,3200,0.8012067437691849,1.6024134875383722,0,0,0,0.13729288850641055,,0,
v_2p00_t_0p50_lm_0p00,2.0,0.5,0.0,0.0,20,20,3200,0.9999999999999999,2.9999999999999987,0,0,0,0.09999999133333418,,0,
v_2p00_t_0p50_lm_0p10,2.0,0.5,0.1,0.0,20,20,3200,0.9999999999999989,2.7999999999999985,0,0,0,0.10142856266326622,,0,
v_2p00_t_0p50_lm_0p20,2.0,0.5,0.2,0.0,20,20,3200,0.9999999999999983,2.599999999999997,0,0,0,0.10307691418935011,,0,
v_2p00_t_0p50_lm_0p30,2.0,0.5,0.3,0.0,20,20,3200,0.9999999999999998,2.399999999999999,0,0,0,0.1049999909583342,,0,
v_2p00_t_0p50_lm_0p40,2.0,0.5,0.4,0.0,20,20,3200,0.9999999999999973,2.199999999999995,0,0,0,0.10727271803305898,,0,
v_2p00_t_0p50_lm_0p50,2.0,0.5,0.5,0.0,20,20,3200,0.9999999999999997,1.9999999999999996,0,0,0,0.10999999050000092,,0,
