point_id,v,t,lm,w,band_path,ribbon_path,status
v_1p00_t_0p50_lm_0p50,1.0,0.5,0.5,1.0,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_1p00_t_0p50_lm_0p50/ribbon.png,ok
v_1p10_t_0p50_lm_0p00,1.1,0.5,0.0,0.8999999999999999,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p00/ribbon.png,ok
v_1p10_t_0p50_lm_0p10,1.1,0.5,0.1,0.8999999999999999,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p10/ribbon.png,ok
v_1p10_t_0p50_lm_0p20,1.1,0.5,0.2,0.8999999999999999,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p20/ribbon.png,ok
v_1p10_t_0p50_lm_0p30,1.1,0.5,0.3,0.8999999999999999,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p30/ribbon.png,ok
v_1p10_t_0p50_lm_0p40,1.1,0.5,0.4,0.8999999999999999,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p40/ribbon.png,ok
v_1p10_t_0p50_lm_0p50,1.1,0.5,0.5,0.8999999999999999,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_1p10_t_0p50_lm_0p50/ribbon.png,ok
v_1p20_t_0p50_lm_0p00,1.2,0.5,0.0,0.8,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p00/ribbon.png,ok
v_1p20_t_0p50_lm_0p10,1.2,0.5,0.1,0.8,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p10/ribbon.png,ok
v_1p20_t_0p50_lm_0p20,1.2,0.5,0.2,0.8,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p20/ribbon.png,ok
v_1p20_t_0p50_lm_0p30,1.2,0.5,0.3,0.8,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p30/ribbon.png,ok
v_1p20_t_0p50_lm_0p40,1.2,0.5,0.4,0.8,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p40/ribbon.png,ok
v_1p20_t_0p50_lm_0p50,1.2,0.5,0.5,0.8,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_1p20_t_0p50_lm_0p50/ribbon.png,ok
v_1p30_t_0p50_lm_0p00,1.3,0.5,0.0,0.7,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p00/ribbon.png,ok
v_1p30_t_0p50_lm_0p10,1.3,0.5,0.1,0.7,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p10/ribbon.png,ok
v_1p30_t_0p50_lm_0p20,1.3,0.5,0.2,0.7,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p20/ribbon.png,ok
v_1p30_t_0p50_lm_0p30,1.3,0.5,0.3,0.7,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p30/ribbon.png,ok
v_1p30_t_0p50_lm_0p40,1.3,0.5,0.4,0.7,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p40/ribbon.png,ok
v_1p30_t_0p50_lm_0p50,1.3,0.5,0.5,0.7,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_1p30_t_0p50_lm_0p50/ribbon.png,ok
v_1p40_t_0p50_lm_0p00,1.4,0.5,0.0,0.6000000000000001,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p00/ribbon.png,ok
v_1p40_t_0p50_lm_0p10,1.4,0.5,0.1,0.6000000000000001,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p10/ribbon.png,ok
v_1p40_t_0p50_lm_0p20,1.4,0.5,0.2,0.6000000000000001,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p20/ribbon.png,ok
v_1p40_t_0p50_lm_0p30,1.4,0.5,0.3,0.6000000000000001,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p30/ribbon.png,ok
v_1p40_t_0p50_lm_0p40,1.4,0.5,0.4,0.6000000000000001,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p40/ribbon.png,ok
v_1p40_t_0p50_lm_0p50,1.4,0.5,0.5,0.6000000000000001,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_1p40_t_0p50_lm_0p50/ribbon.png,ok
v_1p50_t_0p50_lm_0p00,1.5,0.5,0.0,0.5,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p00/ribbon.png,ok
v_1p50_t_0p50_lm_0p10,1.5,0.5,0.1,0.5,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p10/ribbon.png,ok
v_1p50_t_0p50_lm_0p20,1.5,0.5,0.2,0.5,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p20/ribbon.png,ok
v_1p50_t_0p50_lm_0p30,1.5,0.5,0.3,0.5,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p30/ribbon.png,ok
v_1p50_t_0p50_lm_0p40,1.5,0.5,0.4,0.5,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p40/ribbon.png,ok
v_1p50_t_0p50_lm_0p50,1.5,0.5,0.5,0.5,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_1p50_t_0p50_lm_0p50/ribbon.png,ok
v_1p60_t_0p50_lm_0p00,1.6,0.5,0.0,0.3999999999999999,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p00/ribbon.png,ok
v_1p60_t_0p50_lm_0p10,1.6,0.5,0.1,0.3999999999999999,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p10/ribbon.png,ok
v_1p60_t_0p50_lm_0p20,1.6,0.5,0.2,0.3999999999999999,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p20/ribbon.png,ok
v_1p60_t_0p50_lm_0p30,1.6,0.5,0.3,0.3999999999999999,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p30/ribbon.png,ok
v_1p60_t_0p50_lm_0p40,1.6,0.5,0.4,0.3999999999999999,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p40/ribbon.png,ok
v_1p60_t_0p50_lm_0p50,1.6,0.5,0.5,0.3999999999999999,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_1p60_t_0p50_lm_0p50/ribbon.png,ok
v_1p70_t_0p50_lm_0p00,1.7,0.5,0.0,0.30000000000000004,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p00/ribbon.png,ok
v_1p70_t_0p50_lm_0p10,1.7,0.5,0.1,0.30000000000000004,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p10/ribbon.png,ok
v_1p70_t_0p50_lm_0p20,1.7,0.5,0.2,0.30000000000000004,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p20/ribbon.png,ok
v_1p70_t_0p50_lm_0p30,1.7,0.5,0.3,0.30000000000000004,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p30/band.png,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p30/ribbon.png,ok
v_1p70_t_0p50_lm_0p40,1.7,0.5,0.4,0.30000000000000004,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p40/band.png,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p40/ribbon.png,ok
v_1p70_t_0p50_lm_0p50,1.7,0.5,0.5,0.30000000000000004,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p50/band.png,outputs/first_stage_band_ribbon/points/v_1p70_t_0p50_lm_0p50/ribbon.png,ok
v_1p80_t_0p50_lm_0p00,1.8,0.5,0.0,0.19999999999999996,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p00/band.png,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p00/ribbon.png,ok
v_1p80_t_0p50_lm_0p10,1.8,0.5,0.1,0.19999999999999996,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p10/band.png,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p10/ribbon.png,ok
v_1p80_t_0p50_lm_0p20,1.8,0.5,0.2,0.19999999999999996,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p20/band.png,outputs/first_stage_band_ribbon/points/v_1p80_t_0p50_lm_0p20/ribbon.png,ok
