point_id,v,t,lm,w,status,chern,z2,wilson,topology_status
v_1p60_t_0p50_lm_0p40,1.6,0.5,0.4,0.3999999999999999,ok,-1.2858937300726046e-16,1,0.9613945389371923,ok
v_1p60_t_0p50_lm_0p50,1.6,0.5,0.5,0.3999999999999999,ok,1.5242982539210442e-16,0,0.4997603941514083,ok
v_1p70_t_0p50_lm_0p00,1.7,0.5,0.0,0.30000000000000004,ok,4.869230660554911e-17,1,1.011000959764715,ok
v_1p70_t_0p50_lm_0p10,1.7,0.5,0.1,0.30000000000000004,ok,1.0448383671742011e-16,0,2.3911873657103957,ok
v_1p70_t_0p50_lm_0p20,1.7,0.5,0.2,0.30000000000000004,ok,2.148877908191263e-16,0,-1.8404704567511203,ok
v_1p70_t_0p50_lm_0p30,1.7,0.5,0.3,0.30000000000000004,ok,-6.73775406971343e-18,0,-0.3217563996252791,ok
v_1p70_t_0p50_lm_0p40,1.7,0.5,0.4,0.30000000000000004,ok,7.384636353399224e-17,1,-0.6367229165274345,ok
v_1p70_t_0p50_lm_0p50,1.7,0.5,0.5,0.30000000000000004,ok,-2.1852558786246046e-17,0,-0.04666487724240866,ok
v_1p80_t_0p50_lm_0p00,1.8,0.5,0.0,0.19999999999999996,ok,1.6130613177481157e-16,0,0.03081270648951006,ok
v_1p80_t_0p50_lm_0p10,1.8,0.5,0.1,0.19999999999999996,ok,1.5131074351800816e-16,1,2.8281027979996027,ok
v_1p80_t_0p50_lm_0p20,1.8,0.5,0.2,0.19999999999999996,ok,1.738693263038742e-16,0,1.5056300095491195,ok
v_1p80_t_0p50_lm_0p30,1.8,0.5,0.3,0.19999999999999996,ok,-2.43439039665773e-17,0,0.48122745628085734,ok
v_1p80_t_0p50_lm_0p40,1.8,0.5,0.4,0.19999999999999996,ok,-1.2694554110068292e-16,0,4.4174370575882155e-17,ok
v_1p80_t_0p50_lm_0p50,1.8,0.5,0.5,0.19999999999999996,ok,-1.444723947902268e-16,0,-8.834874115176499e-18,ok
