point_id,v,t,lm,w,band_lower_edge,band_upper_edge,band_window_width,classification,has_edge_state,has_isolated_state,has_connecting_edge_branch,in_window_edge_state_count,ky_coverage,touches_lower,touches_upper,span_ratio,reason
v_0p30_t_0p50_lm_0p40,0.3,0.5,0.4,1.7,-0.4000000000000003,0.6000000000000003,1.0000000000000007,isolated_midgap_state,1,1,0,484,1.0,1,0,0.7973635574596395,edge_states_exist_but_not_connecting_band4_and_band5
v_0p30_t_0p50_lm_0p50,0.3,0.5,0.5,1.7,-0.39999999999999913,0.3999999999999989,0.799999999999998,connecting_edge_branch,1,0,1,324,0.6694214876033058,1,1,0.9756435408389025,touches_both_band_edges_with_large_span
v_0p40_t_0p50_lm_0p00,0.4,0.5,0.0,1.6,-0.19999999999999973,0.9999999999999999,1.1999999999999997,isolated_midgap_state,1,1,0,384,0.7933884297520661,1,0,0.436776596219338,edge_states_exist_but_not_connecting_band4_and_band5
v_0p40_t_0p50_lm_0p10,0.4,0.5,0.1,1.6,-0.19999999999999968,0.9999999999999989,1.1999999999999986,isolated_midgap_state,1,1,0,372,0.9421487603305785,1,0,0.4438103112121657,edge_states_exist_but_not_connecting_band4_and_band5
v_0p40_t_0p50_lm_0p20,0.4,0.5,0.2,1.6,-0.2000000000000004,0.8,1.0000000000000004,isolated_midgap_state,1,1,0,352,1.0,1,0,0.5546434754891463,edge_states_exist_but_not_connecting_band4_and_band5
v_0p40_t_0p50_lm_0p30,0.4,0.5,0.3,1.6,-0.20000000000000057,0.6000000000000004,0.8000000000000009,isolated_midgap_state,1,1,0,336,1.0,1,0,0.736021239577765,edge_states_exist_but_not_connecting_band4_and_band5
v_0p40_t_0p50_lm_0p40,0.4,0.5,0.4,1.6,-0.20000000000000062,0.39999999999999963,0.6000000000000003,connecting_edge_branch,1,0,1,272,0.7851239669421488,1,1,0.9899238137287213,touches_both_band_edges_with_large_span
v_0p40_t_0p50_lm_0p50,0.4,0.5,0.5,1.6,-0.2000000000000002,0.20000000000000018,0.40000000000000036,connecting_edge_branch,1,0,1,148,0.30578512396694213,1,1,0.9971397617824124,touches_both_band_edges_with_large_span
v_0p50_t_0p50_lm_0p00,0.5,0.5,0.0,1.5,4.623260188672676e-16,0.9999999999999969,0.9999999999999964,isolated_midgap_state,1,1,0,192,0.39669421487603307,1,0,0.3584136624312565,edge_states_exist_but_not_connecting_band4_and_band5
v_0p50_t_0p50_lm_0p10,0.5,0.5,0.1,1.5,9.395492738854936e-16,0.7999999999999997,0.7999999999999988,isolated_midgap_state,1,1,0,196,0.5289256198347108,1,0,0.4566952563828828,edge_states_exist_but_not_connecting_band4_and_band5
v_0p50_t_0p50_lm_0p20,0.5,0.5,0.2,1.5,1.0843460895034723e-15,0.5999999999999998,0.5999999999999986,isolated_midgap_state,1,1,0,204,0.6611570247933884,1,0,0.6369033947666219,edge_states_exist_but_not_connecting_band4_and_band5
v_0p50_t_0p50_lm_0p30,0.5,0.5,0.3,1.5,-2.995337079677141e-16,0.4000000000000001,0.40000000000000036,connecting_edge_branch,1,0,1,184,0.6446280991735537,1,1,0.9738423748787891,touches_both_band_edges_with_large_span
v_0p50_t_0p50_lm_0p40,0.5,0.5,0.4,1.5,2.3089410873098445e-16,0.19999999999999987,0.19999999999999965,isolated_midgap_state,1,1,0,56,0.23140495867768596,1,1,0.9125092048484325,edge_states_exist_but_not_connecting_band4_and_band5
v_0p50_t_0p50_lm_0p50,0.5,0.5,0.5,1.5,-1.5399140789210645e-16,9.988185961855044e-17,2.538732675106569e-16,empty_gap,0,0,0,0,0.0,0,0,0.0,band23_window_collapsed_or_negative
v_0p60_t_0p50_lm_0p00,0.6,0.5,0.0,1.4,0.20000000000000026,0.7999999999999994,0.5999999999999991,isolated_midgap_state,1,1,0,96,0.19834710743801653,1,0,0.3386056883887388,edge_states_exist_but_not_connecting_band4_and_band5
v_0p60_t_0p50_lm_0p10,0.6,0.5,0.1,1.4,0.2000000000000004,0.5999999999999994,0.399999999999999,isolated_midgap_state,1,1,0,100,0.2975206611570248,1,0,0.5403150706015089,edge_states_exist_but_not_connecting_band4_and_band5
v_0p60_t_0p50_lm_0p20,0.6,0.5,0.2,1.4,0.19999999999999993,0.39999999999999974,0.19999999999999982,isolated_midgap_state,1,1,0,44,0.18181818181818182,1,1,0.8586401778994316,edge_states_exist_but_not_connecting_band4_and_band5
