v,lm,t,w,E_valence_M,E_conduction_M,Delta_M,valence_band_index,conduction_band_index
0.588,0.1,0.3,1.0,0.18800000000000008,0.2119999999999999,0.023999999999999827,3,4
0.589,0.1,0.3,1.0,0.18900000000000017,0.21099999999999983,0.02199999999999966,3,4
0.59,0.1,0.3,1.0,0.18999999999999995,0.20999999999999985,0.019999999999999907,3,4
0.591,0.1,0.3,1.0,0.19100000000000003,0.20899999999999996,0.017999999999999933,3,4
0.592,0.1,0.3,1.0,0.19200000000000006,0.20799999999999977,0.01599999999999971,3,4
0.593,0.1,0.3,1.0,0.19300000000000037,0.20700000000000002,0.013999999999999652,3,4
0.594,0.1,0.3,1.0,0.19400000000000034,0.2059999999999998,0.011999999999999456,3,4
0.595,0.1,0.3,1.0,0.19499999999999998,0.20499999999999985,0.00999999999999987,3,4
0.596,0.1,0.3,1.0,0.1959999999999998,0.2039999999999998,0.00799999999999998,3,4
0.597,0.1,0.3,1.0,0.1970000000000002,0.2029999999999998,0.005999999999999589,3,4
0.598,0.1,0.3,1.0,0.19799999999999987,0.20199999999999996,0.004000000000000087,3,4
0.599,0.1,0.3,1.0,0.1990000000000001,0.2009999999999998,0.0019999999999996965,3,4
0.6,0.1,0.3,1.0,0.19999999999999998,0.20000000000000012,1.3877787807814457e-16,3,4
0.601,0.1,0.3,1.0,0.19900000000000018,0.20099999999999965,0.0019999999999994744,3,4
0.602,0.1,0.3,1.0,0.19800000000000026,0.20199999999999985,0.003999999999999587,3,4
0.603,0.1,0.3,1.0,0.19700000000000023,0.20299999999999987,0.0059999999999996445,3,4
0.604,0.1,0.3,1.0,0.1960000000000001,0.2039999999999998,0.007999999999999702,3,4
0.605,0.1,0.3,1.0,0.195,0.20499999999999985,0.009999999999999842,3,4
0.606,0.1,0.3,1.0,0.19400000000000003,0.20599999999999993,0.0119999999999999,3,4
0.607,0.1,0.3,1.0,0.19300000000000017,0.20699999999999996,0.01399999999999979,3,4
0.608,0.1,0.3,1.0,0.192,0.2079999999999998,0.015999999999999792,3,4
0.609,0.1,0.3,1.0,0.1910000000000001,0.20899999999999977,0.017999999999999683,3,4
0.61,0.1,0.3,1.0,0.1900000000000001,0.20999999999999963,0.019999999999999518,3,4
0.611,0.1,0.3,1.0,0.18899999999999992,0.21099999999999997,0.022000000000000047,3,4
0.612,0.1,0.3,1.0,0.18800000000000008,0.21199999999999994,0.023999999999999855,3,4
0.613,0.1,0.3,1.0,0.18699999999999997,0.21299999999999997,0.025999999999999995,3,4
0.614,0.1,0.3,1.0,0.18600000000000005,0.21400000000000002,0.02799999999999997,3,4
