v,lm,t,w,Delta_M,band_character_sign,signed_mass_proxy,overlap_val_ref_val,overlap_val_ref_con,vx_est,vy_est,comment
0.615,0.1,0.3,1.0,0.029999999999999805,-1,-0.014999999999999902,8.585089156253e-15,0.9961715217911594,3.8163916471489756e-14,3.122502256758253e-14,signed_mass_proxy from M-point component continuity
0.616,0.1,0.3,1.0,0.03199999999999989,-1,-0.015999999999999945,4.153233226862236e-15,0.9943811170030227,3.8163916471489756e-14,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
0.617,0.1,0.3,1.0,0.033999999999999975,-1,-0.016999999999999987,4.422732170700989e-15,0.9926291621289947,6.938893903907228e-15,3.469446951953614e-15,signed_mass_proxy from M-point component continuity
0.618,0.1,0.3,1.0,0.03599999999999978,-1,-0.01799999999999989,1.0383149581460195e-15,0.18844256162115502,1.734723475976807e-14,1.734723475976807e-14,signed_mass_proxy from M-point component continuity
0.619,0.1,0.3,1.0,0.03799999999999998,-1,-0.01899999999999999,1.6086085335200904e-15,0.5096292404748393,1.3877787807814457e-14,2.0816681711721685e-14,signed_mass_proxy from M-point component continuity
0.62,0.1,0.3,1.0,0.04000000000000009,-1,-0.020000000000000046,2.767227653159622e-15,0.9951668232932793,1.3877787807814457e-14,3.469446951953614e-15,signed_mass_proxy from M-point component continuity
0.621,0.1,0.3,1.0,0.04199999999999962,-1,-0.02099999999999981,4.1776105986857494e-15,0.9598615600288132,1.734723475976807e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.622,0.1,0.3,1.0,0.0439999999999999,-1,-0.02199999999999995,2.5288904807586825e-15,0.1029776709997319,3.469446951953614e-15,2.0816681711721685e-14,signed_mass_proxy from M-point component continuity
0.623,0.1,0.3,1.0,0.045999999999999514,-1,-0.022999999999999757,1.2388346600422092e-15,0.10415398540633411,1.3877787807814457e-14,3.469446951953614e-15,signed_mass_proxy from M-point component continuity
0.624,0.1,0.3,1.0,0.04799999999999993,-1,-0.023999999999999966,3.2619475250137843e-15,0.9863801376951422,2.7755575615628914e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.625,0.1,0.3,1.0,0.04999999999999963,-1,-0.024999999999999814,3.4176565748033494e-15,0.18178018063351903,6.938893903907228e-15,2.0816681711721685e-14,signed_mass_proxy from M-point component continuity
0.626,0.1,0.3,1.0,0.05199999999999955,-1,-0.025999999999999773,5.535256951745231e-15,0.9716575902494804,1.3877787807814457e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.627,0.1,0.3,1.0,0.05399999999999974,-1,-0.02699999999999987,4.323852555979079e-15,0.9950067535735628,5.898059818321144e-14,4.85722573273506e-14,signed_mass_proxy from M-point component continuity
0.628,0.1,0.3,1.0,0.05599999999999958,-1,-0.02799999999999979,2.2808772253229867e-16,0.19651839696851894,4.85722573273506e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.629,0.1,0.3,1.0,0.05799999999999997,-1,-0.028999999999999984,1.2870894693518455e-15,0.2749036873936549,2.7755575615628914e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.63,0.1,0.3,1.0,0.059999999999999915,-1,-0.029999999999999957,1.9477155208941147e-15,0.9988614919366431,3.469446951953614e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.631,0.1,0.3,1.0,0.06199999999999958,-1,-0.03099999999999979,1.332303988299879e-15,0.25472803527969673,2.42861286636753e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.632,0.1,0.3,1.0,0.06399999999999997,-1,-0.03199999999999999,2.5718034667942443e-15,0.6285417224038805,1.3877787807814457e-14,1.0408340855860843e-14,signed_mass_proxy from M-point component continuity
0.633,0.1,0.3,1.0,0.06599999999999961,-1,-0.03299999999999981,5.311626037951e-15,0.9847615509184479,3.469446951953614e-15,3.469446951953614e-15,signed_mass_proxy from M-point component continuity
0.634,0.1,0.3,1.0,0.06799999999999884,-1,-0.03399999999999942,9.369425716023648e-16,0.24632719799000508,3.469446951953614e-15,1.0408340855860843e-14,signed_mass_proxy from M-point component continuity
0.635,0.1,0.3,1.0,0.06999999999999953,-1,-0.03499999999999977,2.780746391855973e-15,0.9972327699233257,1.734723475976807e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.636,0.1,0.3,1.0,0.07199999999999962,-1,-0.03599999999999981,3.3042170221027616e-15,0.990864806042213,3.469446951953614e-15,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.637,0.1,0.3,1.0,0.07399999999999998,-1,-0.03699999999999999,3.961980198565278e-15,0.9970354736390492,2.7755575615628914e-14,4.5102810375396984e-14,signed_mass_proxy from M-point component continuity
0.638,0.1,0.3,1.0,0.07599999999999907,-1,-0.037999999999999534,1.4056484097804554e-15,0.08012474642657431,6.938893903907228e-15,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
0.639,0.1,0.3,1.0,0.07799999999999985,-1,-0.038999999999999924,3.207969048994053e-15,0.9861810443269429,1.3877787807814457e-14,3.469446951953614e-15,signed_mass_proxy from M-point component continuity
0.64,0.1,0.3,1.0,0.07999999999999963,-1,-0.039999999999999813,2.2983893548110556e-15,0.15913496699393773,1.0408340855860843e-14,2.42861286636753e-14,signed_mass_proxy from M-point component continuity
0.641,0.1,0.3,1.0,0.0819999999999999,-1,-0.04099999999999995,2.905107353913074e-15,0.9963872057555118,1.0408340855860843e-14,3.469446951953614e-15,signed_mass_proxy from M-point component continuity
0.642,0.1,0.3,1.0,0.0839999999999993,-1,-0.04199999999999965,8.214239600410916e-16,0.13822927232871157,6.938893903907228e-15,3.122502256758253e-14,signed_mass_proxy from M-point component continuity
0.643,0.1,0.3,1.0,0.08599999999999927,-1,-0.042999999999999636,1.7269874532398002e-15,0.963085165627452,3.469446951953614e-15,6.938893903907228e-14,signed_mass_proxy from M-point component continuity
0.644,0.1,0.3,1.0,0.08799999999999969,-1,-0.043999999999999845,3.2936559497248677e-15,0.9522639042242981,2.0816681711721685e-14,0.0,signed_mass_proxy from M-point component continuity
0.645,0.1,0.3,1.0,0.0899999999999995,-1,-0.04499999999999975,1.0555540185853107e-15,0.13778406604393137,5.551115123125783e-14,2.0816681711721685e-14,signed_mass_proxy from M-point component continuity
0.646,0.1,0.3,1.0,0.09199999999999958,-1,-0.04599999999999979,2.9593698810163832e-15,0.9002392179454953,1.3877787807814457e-14,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
0.647,0.1,0.3,1.0,0.0939999999999995,-1,-0.04699999999999975,1.3703861201355376e-15,0.12251005947510936,3.469446951953614e-15,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
0.648,0.1,0.3,1.0,0.09599999999999931,-1,-0.047999999999999654,8.773292639601713e-16,0.25087519500990946,1.734723475976807e-14,2.7755575615628914e-14,signed_mass_proxy from M-point component continuity
0.649,0.1,0.3,1.0,0.09799999999999964,-1,-0.04899999999999982,1.7264734587583235e-15,0.11934089679821734,6.938893903907228e-15,4.5102810375396984e-14,signed_mass_proxy from M-point component continuity
0.65,0.1,0.3,1.0,0.09999999999999992,-1,-0.04999999999999996,1.4521634501691965e-15,0.19145037968917805,6.245004513516506e-14,4.163336342344337e-14,signed_mass_proxy from M-point component continuity
1.08,0.1,0.3,1.0,0.39999999999999963,-1,-0.19999999999999982,2.441437960922948e-15,0.46339946861966425,1.3877787807814457e-14,0.0,signed_mass_proxy from M-point component continuity
1.081,0.1,0.3,1.0,0.3999999999999999,-1,-0.19999999999999996,1.5485645723765632e-15,0.9834377490245819,1.3877787807814457e-14,4.163336342344337e-14,signed_mass_proxy from M-point component continuity
1.082,0.1,0.3,1.0,0.3999999999999999,-1,-0.19999999999999996,2.0199867708869634e-15,0.9506518250618848,0.0,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
1.083,0.1,0.3,1.0,0.3999999999999991,-1,-0.19999999999999954,2.099745289672538e-15,0.27144422476774177,2.0816681711721685e-14,0.0,signed_mass_proxy from M-point component continuity
1.084,0.1,0.3,1.0,0.3999999999999999,-1,-0.19999999999999996,1.4864631313738523e-15,0.9960410637707852,2.0816681711721685e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
1.085,0.1,0.3,1.0,0.39999999999999997,-1,-0.19999999999999998,2.1808902904522423e-15,0.9484714715427525,1.3877787807814457e-14,2.7755575615628914e-14,signed_mass_proxy from M-point component continuity
1.086,0.1,0.3,1.0,0.40000000000000013,-1,-0.20000000000000007,1.9533648630974724e-15,0.10927049570515464,1.3877787807814457e-14,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
1.087,0.1,0.3,1.0,0.3999999999999997,-1,-0.19999999999999984,1.6332249468547457e-15,0.9875641336231767,3.469446951953614e-14,2.0816681711721685e-14,signed_mass_proxy from M-point component continuity
1.088,0.1,0.3,1.0,0.3999999999999998,-1,-0.1999999999999999,1.9655273618946e-15,0.9934906516991032,6.245004513516506e-14,2.0816681711721685e-14,signed_mass_proxy from M-point component continuity
1.089,0.1,0.3,1.0,0.3999999999999999,-1,-0.19999999999999996,1.841376858041136e-15,0.9942370801804721,5.551115123125783e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
1.09,0.1,0.3,1.0,0.40000000000000024,-1,-0.20000000000000012,1.9060029742430474e-15,0.9895543707530396,2.7755575615628914e-14,4.163336342344337e-14,signed_mass_proxy from M-point component continuity
1.091,0.1,0.3,1.0,0.39999999999999974,-1,-0.19999999999999987,1.7180464510010231e-15,0.29533213740772807,6.938893903907228e-15,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
1.092,0.1,0.3,1.0,0.40000000000000024,-1,-0.20000000000000012,1.6732854484616471e-15,0.9117472652910289,1.3877787807814457e-14,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
1.093,0.1,0.3,1.0,0.3999999999999995,-1,-0.19999999999999976,1.6948428240559065e-15,0.9985423512541143,4.163336342344337e-14,6.938893903907228e-15,signed_mass_proxy from M-point component continuity
1.094,0.1,0.3,1.0,0.3999999999999997,-1,-0.19999999999999984,1.5382964912675177e-15,0.34560784601981553,2.7755575615628914e-14,2.0816681711721685e-14,signed_mass_proxy from M-point component continuity
1.095,0.1,0.3,1.0,0.39999999999999974,-1,-0.19999999999999987,2.4052636579447185e-15,0.9106118020987175,2.7755575615628914e-14,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
1.096,0.1,0.3,1.0,0.3999999999999998,-1,-0.1999999999999999,1.7440343873765078e-15,0.20905121774636012,2.7755575615628914e-14,1.3877787807814457e-14,signed_mass_proxy from M-point component continuity
1.097,0.1,0.3,1.0,0.3999999999999997,-1,-0.19999999999999984,2.3058381034689535e-15,0.37404415789420825,6.245004513516506e-14,2.0816681711721685e-14,signed_mass_proxy from M-point component continuity
1.098,0.1,0.3,1.0,0.3999999999999999,-1,-0.19999999999999996,1.7517148086765945e-15,0.9938534712505617,2.0816681711721685e-14,6.245004513516506e-14,signed_mass_proxy from M-point component continuity
1.099,0.1,0.3,1.0,0.4,-1,-0.2,1.6061872304014169e-15,0.9945400975511147,1.3877787807814457e-14,2.0816681711721685e-14,signed_mass_proxy from M-point component continuity
1.1,0.1,0.3,1.0,0.39999999999999947,-1,-0.19999999999999973,1.990621636919078e-15,0.11050380141598734,6.938893903907228e-15,4.163336342344337e-14,signed_mass_proxy from M-point component continuity
