v,lm,t,w,Delta_global,kx_min,ky_min,distance_to_M
0.612,0.1,0.3,1.0,0.023999999999999855,3.141592653589793,3.141592653589793,0.0
0.613,0.1,0.3,1.0,0.025999999999999995,3.141592653589793,3.141592653589793,0.0
0.614,0.1,0.3,1.0,0.02799999999999997,3.141592653589793,3.141592653589793,0.0
0.615,0.1,0.3,1.0,0.029999999999999916,3.141592653589793,3.141592653589793,0.0
0.616,0.1,0.3,1.0,0.03199999999999961,3.141592653589793,3.141592653589793,0.0
0.617,0.1,0.3,1.0,0.033999999999999836,3.141592653589793,3.141592653589793,0.0
0.618,0.1,0.3,1.0,0.035999999999999754,3.141592653589793,3.141592653589793,0.0
0.619,0.1,0.3,1.0,0.03799999999999984,3.141592653589793,3.141592653589793,0.0
0.62,0.1,0.3,1.0,0.04000000000000009,3.141592653589793,3.141592653589793,0.0
0.621,0.1,0.3,1.0,0.041999999999999815,3.141592653589793,3.141592653589793,0.0
0.622,0.1,0.3,1.0,0.04399999999999987,3.141592653589793,3.141592653589793,0.0
0.623,0.1,0.3,1.0,0.04599999999999993,3.141592653589793,3.141592653589793,0.0
0.624,0.1,0.3,1.0,0.047999999999999876,3.141592653589793,3.141592653589793,0.0
0.625,0.1,0.3,1.0,0.04999999999999982,3.141592653589793,3.141592653589793,0.0
0.626,0.1,0.3,1.0,0.05199999999999999,3.141592653589793,3.141592653589793,0.0
0.627,0.1,0.3,1.0,0.053999999999999826,3.141592653589793,3.141592653589793,0.0
0.628,0.1,0.3,1.0,0.05599999999999972,3.141592653589793,3.141592653589793,0.0
0.629,0.1,0.3,1.0,0.057999999999999774,3.141592653589793,3.141592653589793,0.0
0.63,0.1,0.3,1.0,0.05999999999999986,3.141592653589793,3.141592653589793,0.0
0.631,0.1,0.3,1.0,0.06199999999999975,3.141592653589793,3.141592653589793,0.0
0.632,0.1,0.3,1.0,0.06399999999999958,3.141592653589793,3.141592653589793,0.0
0.633,0.1,0.3,1.0,0.06599999999999995,3.141592653589793,3.141592653589793,0.0
