v,t,z2_flips,max_chern_jump,min_abs_gap,has_edge,has_corner,z2_pattern
1.0,0.9,5,4.636014113921485e-16,8.914367605520554e-16,1,0,0-0-0-1-0-1-0-1-1-1-1
0.6,0.6,5,4.217476438417147e-16,9.43689570931383e-16,1,0,0-0-0-1-1-0-0-1-0-0-1
0.4,1.0,5,1.0000000000000002,1.0547118733938987e-15,1,1,0-0-1-0-0-0-1-1-0-0-1
0.8,0.7,5,5.913579009889306e-16,1.1379786002407855e-15,1,0,0-0-1-1-1-1-0-0-1-0-1
0.1,0.9,5,1.0000000000000004,1.2628786905111156e-15,1,1,0-1-0-0-1-0-0-1-1-1-1
0.3,0.8,5,3.7148585315258923e-16,1.27675647831893e-15,1,0,0-1-0-0-1-1-1-0-0-0-1
0.0,0.6,5,6.993698683472045e-16,1.4025366375646498e-15,1,0,1-1-0-1-0-1-0-0-0-0-0
0.0,0.1,5,4.788418787757052e-16,1.5574709561725398e-15,1,0,1-0-1-1-0-0-1-1-0-0-0
0.5,0.0,5,5.123305994551914e-16,1.9984014443252818e-15,1,0,0-1-1-1-0-1-0-0-1-1-1
0.7,0.1,4,7.639105505589132e-16,5.551115123125783e-17,1,0,0-0-0-1-1-1-1-0-0-1-0
0.5,0.7,4,4.874493127818824e-16,6.938893903907228e-17,1,0,1-1-1-1-0-0-1-0-0-0-1
0.5,0.8,4,4.754918694723452e-16,9.71445146547012e-17,1,0,1-1-1-1-0-1-1-0-0-0-1
0.3,0.1,4,4.2075004773142563e-16,1.1102230246251565e-16,1,0,0-0-1-0-0-0-0-0-1-1-0
0.6,0.1,4,2.807967593104501e-16,1.1102230246251565e-16,1,0,1-1-0-1-0-1-1-1-1-1-1
0.6,0.2,4,2.741634315157473e-16,1.1670718467565813e-16,1,0,0-1-0-1-1-1-1-0-0-0-0
0.7,0.2,4,3.3511035536875133e-16,1.942890293094024e-16,1,0,0-1-0-1-1-0-0-0-0-0-0
0.4,0.8,4,3.222565669783799e-16,2.498001805406602e-16,1,0,0-0-1-1-0-0-0-1-0-0-0
0.0,0.2,4,4.842391005936349e-16,3.530832067218416e-16,1,0,0-0-0-0-1-1-1-1-0-1-0
0.6,0.4,4,6.977155118618957e-16,4.440892098500626e-16,1,0,1-1-0-0-1-0-1-1-1-1-1
0.6,0.7,4,5.970973514917438e-16,4.440892098500626e-16,1,0,1-0-1-0-0-0-0-1-1-1-1
0.7,0.4,4,5.934418792424272e-16,5.551115123125783e-16,1,0,1-0-0-1-1-0-1-1-1-1-1
0.2,0.1,4,5.500481024094933e-16,7.216449660063518e-16,1,0,1-0-0-0-0-0-0-1-0-1-1
0.6,0.0,4,3.680996491034899e-16,7.216449660063518e-16,1,0,0-0-1-1-1-1-0-0-1-0-0
0.2,0.7,4,7.599198979386192e-16,7.771561172376096e-16,1,0,1-1-1-1-0-0-1-1-0-1-1
0.7,0.6,4,5.189423048853795e-16,7.771561172376096e-16,1,0,1-0-0-0-1-1-0-0-0-1-1
0.2,0.0,4,4.206858483676634e-16,8.049116928532385e-16,1,0,0-0-0-1-1-0-0-1-0-0-0
0.4,0.0,4,5.460791042187873e-16,1.1102230246251565e-15,1,0,0-0-0-0-0-0-0-1-0-1-0
0.2,1.0,4,1.0,1.1379786002407855e-15,1,1,0-1-1-1-1-0-0-1-1-1-0
0.7,0.7,3,5.036463297247588e-16,0.0,1,0,1-1-1-1-1-1-0-1-1-0-0
