point_id,v,t,lm,gap,chern,z2,edge_state,corner_state,Wilson_loop,z2_flip_axes,max_chern_delta,min_neighbor_abs_gap,is_chern_jump,phase_family,special_score
v_1p00_t_0p60_lm_0p70,1.0,0.6,0.7,1.2825149885898552,-1.10171508720586e-16,1,0,0,-2.998164963658794,2,4.74981652411029e-16,1.1240998703626606,0,R1_robust_z2,3.4
v_0p10_t_0p00_lm_0p20,0.1,0.0,0.2,1.2000000000000002,-1.1238166465319982e-16,1,0,0,-1.1784689122227585,2,3.097105006756038e-16,0.799999999999999,0,R1_robust_z2,3.4
v_0p10_t_0p90_lm_0p80,0.1,0.9,0.8,1.199999999999999,-1.2845780939734574e-16,1,0,0,-1.051327138580608,2,3.6954354841273755e-16,0.7999999999999979,0,R1_robust_z2,3.4
v_0p00_t_1p00_lm_1p00,0.0,1.0,1.0,1.9999999999999973,6.241054372055545e-16,1,0,0,-0.5817268995979709,1,8.85371928619683e-16,1.599999999999998,0,R1_robust_z2,2.000000000000001
v_0p00_t_0p90_lm_1p00,0.0,0.9,1.0,1.5999999999999988,1.7726699916966477e-16,1,0,0,-0.5110402316821214,1,4.468384380358897e-16,1.199999999999999,0,R1_robust_z2,2.0
v_0p00_t_1p00_lm_0p90,0.0,1.0,0.9,1.599999999999998,-8.469297856465105e-17,1,0,0,0.7724417933602665,1,7.087984157702056e-16,1.1999999999999993,0,R1_robust_z2,2.0
v_0p10_t_1p00_lm_0p90,0.1,1.0,0.9,1.5999999999999979,-1.2174697107883773e-16,1,0,0,0.9835281817426151,1,5.757345010436676e-16,1.1999999999999982,0,R1_robust_z2,2.0
v_0p10_t_0p90_lm_1p00,0.1,0.9,1.0,1.599999999999997,-3.6397244872963036e-17,1,0,0,-1.4032590707414165,1,2.248692465411654e-16,1.1999999999999986,0,R1_robust_z2,2.0
v_0p20_t_0p90_lm_1p00,0.2,0.9,1.0,1.3999999999999992,6.327360685592452e-18,1,0,0,0.5379483967113142,1,2.2693622385273443e-16,1.1999999999999962,0,R1_robust_z2,2.0
v_0p90_t_0p70_lm_0p50,0.9,0.7,0.5,1.3204650534085234,-1.8259426226284543e-16,1,0,0,0.8818432148758941,1,3.3221396580717644e-16,1.080624847486569,0,R1_robust_z2,2.0
v_0p10_t_0p90_lm_0p90,0.1,0.9,0.9,1.399999999999997,-1.635964272246486e-16,1,0,0,1.2688680961941847,0,2.1591166262436716e-16,1.1999999999999975,0,R1_robust_z2,0.6000000000000002
