v,lm,delta_chi_mean,delta_chi_max,r_break_mean,r_break_max,comment
0.47,0.0,0.5294040150979078,0.8837875845950277,0.2647020075489539,0.44189379229751385,No near-exact chiral candidate found; treating Gamma as approximate.
0.48,0.0,0.5285414514388562,0.8940299326232246,0.2642707257194281,0.4470149663116123,No near-exact chiral candidate found; treating Gamma as approximate.
0.49,0.0,0.5276630258817069,0.9044312632922692,0.26383151294085344,0.4522156316461346,No near-exact chiral candidate found; treating Gamma as approximate.
0.5,0.0,0.5267686501707656,0.914991421995628,0.2633843250853828,0.457495710997814,No near-exact chiral candidate found; treating Gamma as approximate.
0.51,0.0,0.5258582272631439,0.9257099027716525,0.26292911363157195,0.4628549513858263,No near-exact chiral candidate found; treating Gamma as approximate.
0.52,0.0,0.5249316511049502,0.936585811581694,0.2624658255524751,0.468292905790847,No near-exact chiral candidate found; treating Gamma as approximate.
0.53,0.0,0.5239888064307286,0.9476178269858855,0.2619944032153643,0.47380891349294274,No near-exact chiral candidate found; treating Gamma as approximate.
0.54,0.0,0.5230295685896902,0.9588041581508896,0.2615147842948451,0.4794020790754448,No near-exact chiral candidate found; treating Gamma as approximate.
0.55,0.0,0.522053803402642,0.9701425001453319,0.261026901701321,0.48507125007266594,No near-exact chiral candidate found; treating Gamma as approximate.
0.56,0.0,0.5210613670538984,0.9816299865055327,0.2605306835269492,0.49081499325276634,No near-exact chiral candidate found; treating Gamma as approximate.
0.57,0.0,0.5200521060228582,0.9932631390872428,0.2600260530114291,0.4966315695436214,No near-exact chiral candidate found; treating Gamma as approximate.
0.58,0.0,0.519025857060345,1.005037815259212,0.2595129285301725,0.502518907629606,No near-exact chiral candidate found; treating Gamma as approximate.
0.59,0.0,0.5179824472152434,1.0169491525423728,0.2589912236076217,0.5084745762711864,No near-exact chiral candidate found; treating Gamma as approximate.
0.6,0.0,0.516921693917394,1.028991510855053,0.258460846958697,0.5144957554275265,No near-exact chiral candidate found; treating Gamma as approximate.
0.61,0.0,0.5158434051231509,1.041158412590707,0.2579217025615754,0.5205792062953535,No near-exact chiral candidate found; treating Gamma as approximate.
0.62,0.0,0.5147473795304379,1.0534424808309353,0.25737368976521896,0.5267212404154676,No near-exact chiral candidate found; treating Gamma as approximate.
0.63,0.0,0.5136334068705409,1.0658353760836279,0.25681670343527047,0.5329176880418139,No near-exact chiral candidate found; treating Gamma as approximate.
0.64,0.0,0.512501268284261,1.0783277320343843,0.2562506341421305,0.5391638660171921,No near-exact chiral candidate found; treating Gamma as approximate.
0.65,0.0,0.5113507367903812,1.0909090909090908,0.2556753683951906,0.5454545454545454,No near-exact chiral candidate found; treating Gamma as approximate.
0.66,0.0,0.5101815778546605,1.1035678391665646,0.2550907889273302,0.5517839195832823,No near-exact chiral candidate found; treating Gamma as approximate.
0.67,0.0,0.508993550067755,1.116291144371895,0.2544967750338775,0.5581455721859475,No near-exact chiral candidate found; treating Gamma as approximate.
0.68,0.0,0.5077864059405308,1.1290648942424721,0.2538932029702654,0.5645324471212361,No near-exact chiral candidate found; treating Gamma as approximate.
0.69,0.0,0.5065598928251666,1.1418736390078652,0.2532799464125833,0.5709368195039326,No near-exact chiral candidate found; treating Gamma as approximate.
0.7,0.0,0.5053137539702153,1.1547005383792515,0.25265687698510764,0.5773502691896257,No near-exact chiral candidate found; treating Gamma as approximate.
0.71,0.0,0.5040477297173666,1.167527314580501,0.2520238648586833,0.5837636572902505,No near-exact chiral candidate found; treating Gamma as approximate.
0.72,0.0,0.5027615588469938,1.1803342130469505,0.2513807794234969,0.5901671065234753,No near-exact chiral candidate found; treating Gamma as approximate.
0.73,0.0,0.5014549800786625,1.1930999725437872,0.25072749003933126,0.5965499862718936,No near-exact chiral candidate found; treating Gamma as approximate.
0.74,0.0,0.5001277337315608,1.2058018065872111,0.2500638668657804,0.6029009032936056,No near-exact chiral candidate found; treating Gamma as approximate.
0.75,0.0,0.49877956354828745,1.218415398160343,0.24938978177414373,0.6092076990801715,No near-exact chiral candidate found; treating Gamma as approximate.
0.76,0.0,0.49741021868355145,1.2309149097933272,0.24870510934177573,0.6154574548966636,No near-exact chiral candidate found; treating Gamma as approximate.
0.77,0.0,0.4960194558570842,1.2432730111134724,0.2480097279285421,0.6216365055567362,No near-exact chiral candidate found; treating Gamma as approximate.
0.78,0.0,0.494607041667433,1.2554609259560618,0.2473035208337165,0.6277304629780309,No near-exact chiral candidate found; treating Gamma as approximate.
