point_id,group_id,dim,E_min,E_max,delta_E,best_edge_projection_after,best_corner_projection_after
v_1p00_t_0p90_lm_1p00,38,2,-0.0914857338721746,-0.09148573387217367,9.298117831235686e-16,0.46406412214310716,0.1797425315624674
v_1p00_t_0p90_lm_1p00,39,2,-0.07524229993372096,-0.07524229993372089,6.938893903907228e-17,0.6845219889774127,0.1260188323966985
v_1p00_t_0p90_lm_1p00,40,2,-0.047069630039200186,-0.04706963003920007,1.1796119636642288e-16,0.2782610722553136,0.09541541065490672
v_1p00_t_0p90_lm_1p00,41,2,-0.023278868424217614,-0.023278868424217426,1.8735013540549517e-16,0.7518732594645958,0.16730255603456187
v_1p00_t_0p90_lm_1p00,42,2,0.0219469759654555,0.021946975965455525,2.42861286636753e-17,0.8460084643938758,0.15986437477286886
v_1p00_t_0p90_lm_1p00,43,2,0.07143712115598837,0.07143712115598867,3.0531133177191805e-16,0.645811218876577,0.1123359665819406
v_1p00_t_0p90_lm_1p00,44,2,0.12830620348550337,0.1283062034855048,1.4432899320127035e-15,0.6132534108366055,0.10669291586795747
v_1p00_t_0p90_lm_1p00,45,2,0.17760045910562194,0.17760045910562214,1.942890293094024e-16,0.7703603455182721,0.1456168727511043
v_1p00_t_0p90_lm_1p00,46,2,0.22254173241747105,0.22254173241747136,3.0531133177191805e-16,0.974830652443726,0.21680840358444117
v_1p00_t_0p90_lm_1p00,47,2,0.24656000166404687,0.2465600016640547,7.827072323607354e-15,0.26695561098226817,0.0914136445451883
v_1p00_t_0p90_lm_1p00,48,2,0.27414658946933845,0.2741465894693442,5.773159728050814e-15,0.5727449979544592,0.10469782806076978
v_1p00_t_0p90_lm_1p00,49,2,0.2904350003931634,0.29043500039316605,2.6645352591003757e-15,0.43904660192563016,0.16951169942526154
v_1p00_t_0p90_lm_1p00,50,2,0.30466715390300714,0.30466715390300775,6.106226635438361e-16,0.16121826079273993,0.013055729910706106
v_1p00_t_0p90_lm_1p00,51,4,0.3266364689688563,0.32708089889108527,0.0004444299222289838,0.48500967152149865,0.20592200620752196
v_1p00_t_0p90_lm_1p00,52,2,0.358411887311145,0.35841188731114626,1.27675647831893e-15,0.36560048730132444,0.03996192174416292
v_1p00_t_0p90_lm_1p00,53,2,0.36641402010804214,0.3664140201080427,5.551115123125783e-16,0.24534480058689045,0.06163831656612646
v_1p00_t_0p90_lm_1p00,54,2,0.3702780544135462,0.3702780544135467,4.996003610813204e-16,0.5830199401685419,0.2744912762376308
v_1p00_t_0p90_lm_1p00,55,2,0.38090401198871354,0.38090401198871676,3.219646771412954e-15,0.3922939149890052,0.039778959627796116
v_1p00_t_0p90_lm_1p00,56,2,0.3925222029709196,0.39252220297092105,1.4432899320127035e-15,0.26854254895092944,0.05582404857506308
v_1p00_t_0p90_lm_1p00,57,2,0.41274633277108946,0.4127463327710961,6.661338147750939e-15,0.5423943495145552,0.2476284879848757
v_1p00_t_0p90_lm_1p00,58,2,0.4223601095061462,0.42236010950615355,7.327471962526033e-15,0.4345214583914345,0.040926716846200785
v_1p00_t_0p90_lm_1p00,59,2,0.43039509273996013,0.43039509273996096,8.326672684688674e-16,0.2853140279763153,0.07970565967681358
v_1p00_t_0p90_lm_1p00,60,2,0.4373233373358358,0.4373233373358412,5.440092820663267e-15,0.2653824820750156,0.028428544282053714
v_1p00_t_0p90_lm_1p00,61,2,0.4452937280862989,0.4452937280863057,6.772360450213455e-15,0.3609793124673866,0.02963879157688476
v_1p00_t_0p90_lm_1p00,62,2,0.4500628613099353,0.45006286130993695,1.6653345369377348e-15,0.31522883431099114,0.15366325079036228
v_1p00_t_0p90_lm_1p00,63,2,0.45888386374141277,0.45888386374142,7.216449660063518e-15,0.5230085199574473,0.2049856892139446
v_1p00_t_0p90_lm_1p00,64,2,0.478740829264638,0.47874082926463923,1.2212453270876722e-15,0.42833180207872695,0.03424237935260714
v_1p00_t_0p90_lm_1p00,65,2,0.4840891426726984,0.4840891426726994,9.992007221626409e-16,0.36772915593448013,0.1077095898121438
v_1p00_t_0p90_lm_1p00,66,2,0.4939929780970383,0.49399297809704035,2.0539125955565396e-15,0.435511052979554,0.12680680924473492
v_1p00_t_0p90_lm_1p00,67,2,0.500735527677315,0.500735527677318,2.9976021664879227e-15,0.2296953092491353,0.04104789052776339
v_1p00_t_0p90_lm_1p00,68,6,0.5082486894895946,0.5104084189322344,0.0021597294426398683,0.38269623400773095,0.12299298819453035
v_1p00_t_0p90_lm_1p00,69,6,0.5310303730632988,0.5374756311700438,0.006445258106745011,0.4333310669461075,0.20194643617943495
v_0p50_t_0p80_lm_0p60,0,2,-0.5149468762281527,-0.5149468762281513,1.4432899320127035e-15,0.4408621137725403,0.035973426086651335
v_0p50_t_0p80_lm_0p60,1,2,-0.5042671474712503,-0.5042671474712488,1.5543122344752192e-15,0.6217367938999161,0.2543726369801938
v_0p50_t_0p80_lm_0p60,2,2,-0.49171623732101816,-0.49171623732101666,1.4988010832439613e-15,0.28398266770571173,0.0636650480973254
v_0p50_t_0p80_lm_0p60,3,2,-0.47650079192207484,-0.4765007919220699,4.9404924595819466e-15,0.30659023471699676,0.01979979377488503
