v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,classification
0.2,10,10,425,9.435528418908814e-08,9.435528418908814e-08,0.45113910938730023,0.5479838699510738,0.0008770206616267244,bulk_or_mixed_state
0.2,10,10,426,9.467444549409286e-08,9.467444549409286e-08,0.4637052344522324,0.5354378828248643,0.0008568827229039779,bulk_or_mixed_state
0.2,10,10,427,9.467444578235424e-08,9.467444578235424e-08,0.46368346755104684,0.5354811443513314,0.0008353880976216034,bulk_or_mixed_state
0.2,10,10,428,9.467444582136031e-08,9.467444582136031e-08,0.46373751943601926,0.5353733271467047,0.0008891534172773205,bulk_or_mixed_state
0.2,10,10,429,9.467444584361165e-08,9.467444584361165e-08,0.4636939458743178,0.5354599465700011,0.0008461075556819296,bulk_or_mixed_state
0.2,10,10,430,9.489181688341101e-08,9.489181688341101e-08,0.328776314193543,0.6701505709052304,0.0010731149012263388,edge_state
0.2,10,10,431,9.489181711989e-08,9.489181711989e-08,0.3287589744473718,0.6701854984166374,0.0010555271359914292,edge_state
0.2,10,10,432,9.48918171510079e-08,9.48918171510079e-08,0.32878025403987154,0.6701427730186313,0.0010769729414963978,edge_state
0.2,10,10,433,9.489181731634346e-08,9.489181731634346e-08,0.328789839697718,0.6701233159781999,0.0010868443240828053,edge_state
0.2,10,10,434,9.501761171530998e-08,9.501761171530998e-08,0.10907225081223951,0.8895025445115962,0.00142520467616366,edge_state
0.2,10,10,435,9.501761173990623e-08,9.501761173990623e-08,0.10907868666182687,0.8894896901191012,0.0014316232190722197,edge_state
0.2,10,10,436,9.501761189781942e-08,9.501761189781942e-08,0.10907890499183392,0.8894894265454976,0.0014316684626680463,edge_state
0.2,10,10,437,9.501761218207033e-08,9.501761218207033e-08,0.1090595210831377,0.8895281569869468,0.0014123219299156634,edge_state
0.2,10,10,438,0.3162277660168678,0.3162277660168678,0.9968025600133277,0.003194879986694733,2.559999978642736e-06,corner_state
0.2,10,10,439,0.31622776601686853,0.31622776601686853,0.9968025600133269,0.003194879986694727,2.559999978643223e-06,corner_state
0.3,10,10,360,-0.3162277661081461,0.3162277661081461,0.9838656192821565,0.016068770793642294,6.560992420057404e-05,corner_state
0.3,10,10,361,-0.3162277661081452,0.3162277661081452,0.9838656192821578,0.01606877079364232,6.560992420057297e-05,corner_state
0.3,10,10,362,-5.218743390612843e-06,5.218743390612843e-06,0.10948867583183028,0.88330314760825,0.007208176559919496,edge_state
0.3,10,10,363,-5.2187433905940926e-06,5.2187433905940926e-06,0.10945035262465036,0.8833797893510357,0.007169858024314677,edge_state
0.3,10,10,364,-5.218743390429342e-06,5.218743390429342e-06,0.10948641020447217,0.8833076760790605,0.007205913716467966,edge_state
0.3,10,10,365,-5.218743390292892e-06,5.218743390292892e-06,0.10952020153494897,0.8832400913391818,0.007239707125870113,edge_state
0.3,10,10,366,-5.211103978830454e-06,5.211103978830454e-06,0.3314317257537564,0.6631912730754691,0.0053770011707735006,edge_state
0.3,10,10,367,-5.211103978708015e-06,5.211103978708015e-06,0.33148418086629816,0.6630863591134752,0.005429460020226411,edge_state
0.3,10,10,368,-5.211103978618536e-06,5.211103978618536e-06,0.33142829143743835,0.6631981392577513,0.00537356930480788,edge_state
0.3,10,10,369,-5.211103978443196e-06,5.211103978443196e-06,0.33144806357991763,0.6631585922120236,0.0053933442080587165,edge_state
0.3,10,10,370,-5.197497000913243e-06,5.197497000913243e-06,0.47006375102356523,0.5256048619139726,0.004331387062462695,bulk_or_mixed_state
0.3,10,10,371,-5.1974970006306575e-06,5.1974970006306575e-06,0.4700035632075644,0.5257252268233139,0.004271209969121839,bulk_or_mixed_state
