v,direction,scan_param,center_index,wannier_center
0.1,x,2.908882086657216,1,0.20443610718472685
0.1,x,2.908882086657216,2,0.7714770026593613
0.1,x,2.908882086657216,3,0.9071797616055503
0.1,x,2.9864522756347416,0,0.21833934761295892
0.1,x,2.9864522756347416,1,0.48455107348392584
0.1,x,2.9864522756347416,2,0.5330423510275837
0.1,x,2.9864522756347416,3,0.7640672278755314
0.1,x,3.0640224646122673,0,0.2563441071500901
0.1,x,3.0640224646122673,1,0.35995348681028977
0.1,x,3.0640224646122673,2,0.6337501172377826
0.1,x,3.0640224646122673,3,0.749952288801838
0.1,y,-3.141592653589793,0,0.13221665723759043
0.1,y,-3.141592653589793,1,0.22835135066227957
0.1,y,-3.141592653589793,2,0.7864744974750029
0.1,y,-3.141592653589793,3,0.852957494625127
0.1,y,-3.0640224646122673,0,0.0413026669378459
0.1,y,-3.0640224646122673,1,0.3271289986949329
0.1,y,-3.0640224646122673,2,0.6994846444993128
0.1,y,-3.0640224646122673,3,0.9320836898679088
0.1,y,-2.9864522756347416,0,0.11603075557497021
0.1,y,-2.9864522756347416,1,0.34812032642868085
0.1,y,-2.9864522756347416,2,0.6792674344666774
0.1,y,-2.9864522756347416,3,0.8565814835296716
0.1,y,-2.908882086657216,0,0.11421330938623975
0.1,y,-2.908882086657216,1,0.34308606474270936
0.1,y,-2.908882086657216,2,0.6257978909845521
0.1,y,-2.908882086657216,3,0.9169027348864993
