point_id,v,t,lm,w,z2,chern,wilson,ribbon_classification,has_connecting_edge_branch,has_isolated_state,band_window_width,in_window_edge_state_count,span_ratio,min_abs_energy,obc_gap,count_absE_le_0p02,special_score,special_rank,category,physical_score,rationale
v_0p80_t_0p50_lm_0p20,0.8,0.5,0.2,1.2,1,5.713181819195338e-17,-1.2755312187107823,connecting_edge_branch,1,0,0.46491106406735144,108,0.9711512565969911,0.0011666531165534261,0.015636022847224117,6,103.4036162053046,9999,robust_edge_topology,0.671394,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_0p80_t_0p50_lm_0p30,0.8,0.5,0.3,1.2,1,2.5593260318595935e-16,1.166301025173239,connecting_edge_branch,1,0,0.7416407864998735,228,0.9654471942729221,0.0038213774765994833,0.014980434753148295,6,51.93950900716909,9999,robust_edge_topology,0.798389,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_0p80_t_0p50_lm_0p40,0.8,0.5,0.4,1.2,1,-9.255766151337647e-17,-0.9598075069860618,connecting_edge_branch,1,0,0.9999999999999998,308,0.9890661157563672,0.0026822680450848684,0.016592273631418745,6,60.44051261506986,9999,robust_edge_topology,0.907265,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_0p80_t_0p50_lm_0p50,0.8,0.5,0.5,1.2,1,-1.6389250160536648e-16,0.8203710822493647,connecting_edge_branch,1,0,1.1999999999999993,324,0.9738307425660122,0.00957703673159942,0.01915407346319977,4,33.48570389111043,9999,robust_edge_topology,0.902948,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_0p90_t_0p50_lm_0p00,0.9,0.5,0.0,1.1,0,9.305994957682824e-17,-2.1609807283473175,empty_gap,0,0,-1.3877787807814457e-16,0,0.0,0.002032653098504241,0.01564342773733276,12,93.19094484943392,9999,transition_core_or_precursor,0.0225,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_0p90_t_0p50_lm_0p10,0.9,0.5,0.1,1.1,1,2.06228808695378e-16,1.0639008794627014,isolated_midgap_state,0,1,0.21803398874989416,60,0.9842699693946583,0.00534558095344609,0.017519142292122862,6,49.39015818432337,9999,bulk_mixed_nontrivial,0.29797,Z2 非平庸但 ribbon 未形成连接边界分支，边界性被弱化
v_0p90_t_0p50_lm_0p20,0.9,0.5,0.2,1.1,0,-4.441649548505126e-17,2.1093883938796214,connecting_edge_branch,1,0,0.47046999107196186,200,0.9660593633496785,2.20819225034456e-05,0.013822884481229964,6,3639.8810120428107,1,transition_core_or_precursor,0.530542,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_0p90_t_0p50_lm_0p30,0.9,0.5,0.3,1.1,1,-4.9680818339204074e-17,2.8565045672784413,connecting_edge_branch,1,0,0.7529964086141668,312,0.9904241211603627,0.0018786838863005552,0.01361537533138731,6,75.98748594669263,9999,robust_edge_topology,0.861039,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_0p90_t_0p50_lm_0p40,0.9,0.5,0.4,1.1,0,2.3301289057219085e-17,-0.1419614834789964,connecting_edge_branch,1,0,1.046753925605393,348,0.9864911995296919,0.0051881020827558594,0.01497944537360182,4,41.42506185427901,9999,ambiguous_need_review,0.70865,指标互相竞争，需结合波函数和更大尺寸复核
v_0p90_t_0p50_lm_0p50,0.9,0.5,0.5,1.1,1,7.317835458051227e-17,1.1015953386382926,connecting_edge_branch,1,0,1.1732137494637,332,0.9734743503983054,0.00868733277585353,0.017374665551708742,4,34.661988357474236,9999,robust_edge_topology,0.902818,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
